"daily"
Date,Crop,Stage,ETa/ETc,Tavg,Precip,Mois_1,RootDep,Recharge,PercolationRate_1,PercolationRate_2,PercolationRate_3,PercolationRate_4,PercolationRate_5,G-Iso,G-Mono,JJV-Iso,JJV-Mono
1991-02-09,,0,0.94,1.9,0,0.123,0,0,0,0,0,0,0,0,0,0,0
1991-02-10,,0,0.93,3.4,1,0.12,0,0,0,0,0,0,0,0,0,0,0
1991-02-11,,0,0.79,2.5,4,0.145,0,0,0,0,0,0,0,0,0,0,0
1991-02-12,,0,0.94,4.4,0,0.137,0,0,0,0,0,0,0,0,0,0,0
1991-02-13,,0,0.8,6.6,2,0.14,0,0,0,0,0,0,0,0,0,0,0
1991-02-14,,0,0.8,2.8,3,0.152,0,0,0,0,0,0,0,0,0,0,0
1991-02-15,,0,0.81,4,1,0.143,0,0,0,0,0,0,0,0,0,0,0
1991-02-16,,0,0,1.4,2,0.163,0,0,0,0,0,0,0,0,0,0,0
1991-02-17,,0,0,-1.8,1,0.174,0,0,0,0,0,0,0,0,0,0,0
1991-02-18,,0,0,-3.1,0,0.174,0,0,0,0,0,0,0,0,0,0,0
1991-02-19,,0,0,-0.7,1,0.185,0,0,0,0,0,0,0,0,0,0,0
1991-02-20,,0,0,-1.2,0,0.185,0,0,0,0,0,0,0,0,0,0,0
1991-02-21,,0,0.82,1.3,0,0.168,0,0,0,0,0,0,0,0,0,0,0
1991-02-22,,0,0.81,3.1,2,0.171,0,0,0,0,0,0,0,0,0,0,0
1991-02-23,,0,0.82,4.8,0,0.145,0,0,0,0,0,0,0,0,0,0,0
1991-02-24,,0,0.94,3.5,0,0.128,0,0,0,0,0,0,0,0,0,0,0
1991-02-25,,0,0.93,3.7,0,0.126,0,0,0,0,0,0,0,0,0,0,0
1991-02-26,,0,0.93,2.5,0,0.117,0,0,0,0,0,0,0,0,0,0,0
1991-02-27,,0,0.92,4.3,0,0.103,0,0,0,0,0,0,0,0,0,0,0
1991-02-28,,0,0.91,1.1,0,0.097,0,0,0,0,0,0,0,0,0,0,0
1991-03-01,,0,0.91,6.8,0,0.078,0,0,0,0,0,0,0,0,0,0,0
1991-03-02,,0,0.52,8,0,0.071,0,0,0,0,0,0,0,0,0,0,0
1991-03-03,,0,0.3,6.9,1,0.079,0,0,0,0,0,0,0,0,0,0,0
1991-03-04,,0,0.55,5.5,0,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-03-05,,0,0.28,6.9,0,0.067,0,0,0,0,0,0,0,0,0,0,0
1991-03-06,,0,0.28,7.5,0,0.066,0,0,0,0,0,0,0,0,0,0,0
1991-03-07,,0,0.28,5,1,0.075,0,0,0,0,0,0,0,0,0,0,0
1991-03-08,,0,0.45,6,0,0.07,0,0,0,0,0,0,0,0,0,0,0
1991-03-09,,0,0.27,5.7,0,0.069,0,0,0,0,0,0,0,0,0,0,0
1991-03-10,,0,0.25,4.5,0,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-03-11,,0,0.24,4.7,0,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-03-12,,0,0.15,4,2,0.087,0,0,0,0,0,0,0,0,0,0,0
1991-03-13,,0,0.56,3.1,14,0.215,0,0,0,0,0,0,0,0,0,0,0
1991-03-14,,0,0.83,2.8,3,0.218,0,0,0.469,0,0,0,0,0,0,0,0
1991-03-15,,0,0,1.1,1,0.228,0,0,0,0,0,0,0,0,0,0,0
1991-03-16,,0,0,0.4,2,0.241,0,0,0.794,0,0,0,0,0,0,0,0
1991-03-17,,0,0.85,2.5,0,0.217,0,0,0.247,0,0,0,0,0,0,0,0
1991-03-18,,0,0.84,2.3,0,0.205,0,0,0,0,0,0,0,0,0,0,0
1991-03-19,,0,0.83,6.8,0,0.187,0,0,0,0,0,0,0,0,0,0,0
1991-03-20,,0,0.82,4.7,1,0.176,0,0,0,0,0,0,0,0,0,0,0
1991-03-21,,0,0.76,6.1,12,0.229,0,0,5.061,0,0,0,0,0,0,0,0
1991-03-22,,0,0.79,8.3,6,0.229,0,0,4.404,0,0,0,0,0,0,0,0
1991-03-23,,0,0.93,5.5,5,0.217,0,0,3.414,0,0,0,0,0,0,0,0
1991-03-24,,0,0.93,3.7,1,0.22,0,0,0,0,0,0,0,0,0,0,0
1991-03-25,,0,0.93,2.7,0,0.205,0,0,0,0,0,0,0,0,0,0,0
1991-03-26,,0,0.92,2.1,6.3,0.229,0,0,2.373,0.116,0,0,0,0,0,0,0
1991-03-27,,0,0.93,3.5,0.2,0.214,0,0,0,0,0,0,0,0,0,0,0
1991-03-28,,0,0.92,2.5,1.4,0.214,0,0,0,0,0,0,0,0,0,0,0
1991-03-29,,0,0.92,1.9,3.2,0.223,0,0,0.568,0,0,0,0,0,0,0,0
1991-03-30,,0,0,1.5,0.7,0.23,0,0,0,0,0,0,0,0,0,0,0
1991-03-31,,0,0.93,1.2,0,0.216,0,0,0,0,0,0,0,0,0,0,0
1991-04-01,,0,0.92,5.6,0,0.19,0,0,0,0,0,0,0,0,0,0,0
1991-04-02,,0,0.91,7.4,2.6,0.188,0,0,0,0,0,0,0,0,0,0,0
1991-04-03,,0,0.91,7.2,0,0.164,0,0,0,0,0,0,0,0,0,0,0
1991-04-04,,0,0.9,5.9,0,0.145,0,0,0,0,0,0,0,0,0,0,0
1991-04-05,,0,0.88,5.3,0,0.126,0,0,0,0,0,0,0,0,0,0,0
1991-04-06,,0,0.87,3.7,0,0.111,0,0,0,0,0,0,0,0,0,0,0
1991-04-07,,0,0.87,4.1,0.1,0.098,0,0,0,0,0,0,0,0,0,0,0
1991-04-08,,0,0.86,6.7,0,0.084,0,0,0,0,0,0,0,0,0,0,0
1991-04-09,,0,0.6,7.2,0,0.076,0,0,0,0,0,0,0,0,0,0,0
1991-04-10,,0,0.44,5.8,0,0.07,0,0,0,0,0,0,0,0,0,0,0
1991-04-11,,0,0.23,6.8,0,0.07,0,0,0,0,0,0,0,0,0,0,0
1991-04-12,,0,0.23,10.2,0,0.069,0,0,0,0,0,0,0,0,0,0,0
1991-04-13,,0,0.23,11.5,0,0.067,0,0,0,0,0,0,0,0,0,0,0
1991-04-14,,0,0.23,8.5,2.1,0.087,0,0,0,0,0,0,0,0,0,0,0
1991-04-15,,0,0.66,7.3,0.1,0.072,0,0,0,0,0,0,0,0,0,0,0
1991-04-16,,0,0.31,7.6,1,0.079,0,0,0,0,0,0,0,0,0,0,0
1991-04-17,,0,0.48,5.1,2.3,0.094,0,0,0,0,0,0,0,0,0,0,0
1991-04-18,,0,0.79,2.7,2.1,0.1,0,0,0,0,0,0,0,0,0,0,0
1991-04-19,,0,0.85,6.3,1.7,0.095,0,0,0,0,0,0,0,0,0,0,0
1991-04-20,,0,0.81,8.2,1.9,0.089,0,0,0,0,0,0,0,0,0,0,0
1991-04-21,,0,0.68,5.6,0,0.072,0,0,0,0,0,0,0,0,0,0,0
1991-04-22,,0,0.35,6.2,0,0.069,0,0,0,0,0,0,0,0,0,0,0
1991-04-23,,0,0.28,8.2,0,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-04-24,,0,0.28,6.5,0,0.067,0,0,0,0,0,0,0,0,0,0,0
1991-04-25,,0,0.28,10.4,0,0.066,0,0,0,0,0,0,0,0,0,0,0
1991-04-26,,0,0.28,15.3,1.7,0.082,0,0,0,0,0,0,0,0,0,0,0
1991-04-27,,0,0.59,13.9,2.8,0.099,0,0,0,0,0,0,0,0,0,0,0
1991-04-28,,0,0.9,12.8,0,0.073,0,0,0,0,0,0,0,0,0,0,0
1991-04-29,,0,0.38,12.1,0.1,0.069,0,0,0,0,0,0,0,0,0,0,0
1991-04-30,,0,0.25,10.6,2.2,0.09,0,0,0,0,0,0,0,0,0,0,0
1991-05-01,,0,0.71,9.6,0,0.075,0,0,0,0,0,0,0,0,0,0,0
1991-05-02,,0,0.39,12.4,0.2,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-05-03,,0,0.14,8.2,3,0.097,0,0,0,0,0,0,0,0,0,0,0
1991-05-04,,0,0.83,9.1,0.1,0.077,0,0,0,0,0,0,0,0,0,0,0
1991-05-05,,0,0.42,8.3,0,0.07,0,0,0,0,0,0,0,0,0,0,0
1991-05-06,,0,0.19,9.9,0,0.069,0,0,0,0,0,0,0,0,0,0,0
1991-05-07,,0,0.18,12.4,0,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-05-08,,0,0.14,13.3,2.4,0.09,0,0,0,0,0,0,0,0,0,0,0
1991-05-09,,0,0.62,10.5,2.7,0.095,0,0,0,0,0,0,0,0,0,0,0
1991-05-10,,0,0.71,7.5,2.4,0.098,0,0,0,0,0,0,0,0,0,0,0
1991-05-11,,0,0.75,7.9,3.1,0.105,0,0,0,0,0,0,0,0,0,0,0
1991-05-12,,0,0.75,7,10.9,0.198,0,0,0,0,0,0,0,0,0,0,0
1991-05-13,,0,0.79,9.8,0.3,0.174,0,0,0,0,0,0,0,0,0,0,0
1991-05-14,,0,0.78,15.6,0,0.139,0,0,0,0,0,0,0,0,0,0,0
1991-05-15,,0,0.76,16.6,0,0.109,0,0,0,0,0,0,0,0,0,0,0
1991-05-16,,0,0.76,17.9,0,0.072,0,0,0,0,0,0,0,0,0,0,0
1991-05-17,,0,0.17,15.2,0,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-05-18,,0,0.11,12.2,0,0.067,0,0,0,0,0,0,0,0,0,0,0
1991-05-19,,0,0.1,12.3,0,0.065,0,0,0,0,0,0,0,0,0,0,0
1991-05-20,,0,0.1,14.6,0,0.064,0,0,0,0,0,0,0,0,0,0,0
1991-05-21,,0,0.1,17.4,0,0.062,0,0,0,0,0,0,0,0,0,0,0
1991-05-22,,0,0.09,19,0,0.061,0,0,0,0,0,0,0,0,0,0,0
1991-05-23,,0,0.09,20,0,0.06,0,0,0,0,0,0,0,0,0,0,0
1991-05-24,,0,0.08,19.6,0,0.058,0,0,0,0,0,0,0,0,0,0,0
1991-05-25,,0,0.08,17.4,0,0.057,0,0,0,0,0,0,0,0,0,0,0
1991-05-26,,0,0.08,16,0,0.055,0,0,0,0,0,0,0,0,0,0,0
1991-05-27,,0,0.07,15.9,0,0.054,0,0,0,0,0,0,0,0,0,0,0
1991-05-28,,0,0.07,17.5,0,0.053,0,0,0,0,0,0,0,0,0,0,0
1991-05-29,,0,0.07,15.3,0,0.052,0,0,0,0,0,0,0,0,0,0,0
1991-05-30,,0,0.07,16.5,0,0.051,0,0,0,0,0,0,0,0,0,0,0
1991-05-31,,0,0.07,17.3,0,0.05,0,0,0,0,0,0,0,0,0,0,0
1991-06-01,,0,0.06,17.9,0,0.049,0,0,0,0,0,0,0,0,0,0,0
1991-06-02,,0,0.06,19.6,0,0.048,0,0,0,0,0,0,0,0,0,0,0
1991-06-03,,0,0.06,21.9,0,0.047,0,0,0,0,0,0,0,0,0,0,0
1991-06-04,,0,0.06,20.9,0,0.046,0,0,0,0,0,0,0,0,0,0,0
1991-06-05,,0,0.06,22,0,0.045,0,0,0,0,0,0,0,0,0,0,0
1991-06-06,,0,0.06,21.5,0,0.045,0,0,0,0,0,0,0,0,0,0,0
1991-06-07,,0,0.06,19.2,0.1,0.045,0,0,0,0,0,0,0,0,0,0,0
1991-06-08,,0,0.06,18.7,0,0.044,0,0,0,0,0,0,0,0,0,0,0
1991-06-09,,0,0.06,18.8,0,0.043,0,0,0,0,0,0,0,0,0,0,0
1991-06-10,,0,0.06,18.4,0.2,0.045,0,0,0,0,0,0,0,0,0,0,0
1991-06-11,,0,0.06,13.2,0.5,0.049,0,0,0,0,0,0,0,0,0,0,0
1991-06-12,,0,0.06,12.9,3.7,0.086,0,0,0,0,0,0,0,0,0,0,0
1991-06-13,,0,0.47,15.2,7.5,0.145,0,0,0,0,0,0,0,0,0,0,0
1991-06-14,,0,0.72,15.8,0,0.114,0,0,0,0,0,0,0,0,0,0,0
1991-06-15,,0,0.71,19.1,0,0.08,0,0,0,0,0,0,0,0,0,0,0
1991-06-16,,0,0.36,20.3,0,0.067,0,0,0,0,0,0,0,0,0,0,0
1991-06-17,,0,0.07,18.3,0,0.066,0,0,0,0,0,0,0,0,0,0,0
1991-06-18,,0,0.07,17.6,0,0.065,0,0,0,0,0,0,0,0,0,0,0
1991-06-19,,0,0.07,16.6,0,0.063,0,0,0,0,0,0,0,0,0,0,0
1991-06-20,,0,0.06,19.1,0.5,0.066,0,0,0,0,0,0,0,0,0,0,0
1991-06-21,,0,0.07,19.7,0,0.065,0,0,0,0,0,0,0,0,0,0,0
1991-06-22,,0,0.06,19.8,0,0.063,0,0,0,0,0,0,0,0,0,0,0
1991-06-23,,0,0.06,17,0,0.061,0,0,0,0,0,0,0,0,0,0,0
1991-06-24,,0,0.06,16.4,0,0.06,0,0,0,0,0,0,0,0,0,0,0
1991-06-25,,0,0.06,17.4,0,0.059,0,0,0,0,0,0,0,0,0,0,0
1991-06-26,,0,0.06,17.8,0,0.057,0,0,0,0,0,0,0,0,0,0,0
1991-06-27,,0,0.06,17.3,0,0.056,0,0,0,0,0,0,0,0,0,0,0
1991-06-28,,0,0.06,19,0,0.055,0,0,0,0,0,0,0,0,0,0,0
1991-06-29,,0,0.05,19,0,0.054,0,0,0,0,0,0,0,0,0,0,0
1991-06-30,,0,0.05,25.6,10,0.153,0,0,0,0,0,0,0,0,0,0,0
1991-07-01,,0,0.71,23.6,0,0.115,0,0,0,0,0,0,0,0,0,0,0
1991-07-02,,0,0.69,24.2,0,0.08,0,0,0,0,0,0,0,0,0,0,0
1991-07-03,,0,0.34,21.2,0,0.063,0,0,0,0,0,0,0,0,0,0,0
1991-07-04,,0,0.05,19,0,0.062,0,0,0,0,0,0,0,0,0,0,0
1991-07-05,,0,0.05,19.3,8.5,0.146,0,0,0,0,0,0,0,0,0,0,0
1991-07-06,,0,0.71,17.8,0.2,0.117,0,0,0,0,0,0,0,0,0,0,0
1991-07-07,,0,0.69,14.1,2.3,0.115,0,0,0,0,0,0,0,0,0,0,0
1991-07-08,,0,0.69,17.7,0,0.085,0,0,0,0,0,0,0,0,0,0,0
1991-07-09,,0,0.43,19.4,0,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-07-10,,0,0.05,21.6,0,0.066,0,0,0,0,0,0,0,0,0,0,0
1991-07-11,,0,0.05,21.3,0,0.065,0,0,0,0,0,0,0,0,0,0,0
1991-07-12,,0,0.05,18.6,0.5,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-07-13,,0,0.05,18.3,0.8,0.075,0,0,0,0,0,0,0,0,0,0,0
1991-07-14,,0,0.23,18.5,0,0.064,0,0,0,0,0,0,0,0,0,0,0
1991-07-15,,0,0.05,16.8,4.3,0.105,0,0,0,0,0,0,0,0,0,0,0
1991-07-16,,0,0.68,15.8,0,0.074,0,0,0,0,0,0,0,0,0,0,0
1991-07-17,,0,0.19,15.2,0,0.067,0,0,0,0,0,0,0,0,0,0,0
1991-07-18,,0,0.05,19.8,4,0.105,0,0,0,0,0,0,0,0,0,0,0
1991-07-19,,0,0.68,18.5,1,0.08,0,0,0,0,0,0,0,0,0,0,0
1991-07-20,,0,0.33,14.5,0,0.071,0,0,0,0,0,0,0,0,0,0,0
1991-07-21,,0,0.09,24.8,0,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-07-22,,0,0.05,26.7,4,0.105,0,0,0,0,0,0,0,0,0,0,0
1991-07-23,,0,0.68,19.7,0,0.08,0,0,0,0,0,0,0,0,0,0,0
1991-07-24,,0,0.32,21.2,0,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-07-25,,0,0.05,20.3,0,0.066,0,0,0,0,0,0,0,0,0,0,0
1991-07-26,,0,0.05,20.9,2.1,0.086,0,0,0,0,0,0,0,0,0,0,0
1991-07-27,,0,0.44,19,0,0.064,0,0,0,0,0,0,0,0,0,0,0
1991-07-28,,0,0.04,21.3,2.8,0.09,0,0,0,0,0,0,0,0,0,0,0
1991-07-29,,0,0.54,16.1,0,0.06,0,0,0,0,0,0,0,0,0,0,0
1991-07-30,,0,0.04,17.1,0,0.059,0,0,0,0,0,0,0,0,0,0,0
1991-07-31,,0,0.04,21.8,0,0.057,0,0,0,0,0,0,0,0,0,0,0
1991-08-01,,0,0.04,20.9,0,0.056,0,0,0,0,0,0,0,0,0,0,0
1991-08-02,,0,0.04,21.4,0,0.055,0,0,0,0,0,0,0,0,0,0,0
1991-08-03,,0,0.04,21.5,5.7,0.111,0,0,0,0,0,0,0,0,0,0,0
1991-08-04,,0,0.68,23.6,0,0.071,0,0,0,0,0,0,0,0,0,0,0
1991-08-05,,0,0.09,19.9,0,0.067,0,0,0,0,0,0,0,0,0,0,0
1991-08-06,,0,0.05,19.8,0,0.066,0,0,0,0,0,0,0,0,0,0,0
1991-08-07,,0,0.04,22.8,0,0.064,0,0,0,0,0,0,0,0,0,0,0
1991-08-08,,0,0.04,20,0,0.062,0,0,0,0,0,0,0,0,0,0,0
1991-08-09,,0,0.04,22.8,0,0.061,0,0,0,0,0,0,0,0,0,0,0
1991-08-10,,0,0.04,29,0,0.059,0,0,0,0,0,0,0,0,0,0,0
1991-08-11,,0,0.02,26.5,0,0.058,0,0,0,0,0,0,0,0,0,0,0
1991-08-12,,0,0.04,20.4,1.7,0.073,0,0,0,0,0,0,0,0,0,0,0
1991-08-13,,0,0.17,19.5,0.1,0.066,0,0,0,0,0,0,0,0,0,0,0
1991-08-14,,0,0.04,16.9,2.1,0.085,0,0,0,0,0,0,0,0,0,0,0
1991-08-15,,0,0.43,14.9,10.9,0.176,0,0,0,0,0,0,0,0,0,0,0
1991-08-16,,0,0.71,14.7,0.1,0.144,0,0,0,0,0,0,0,0,0,0,0
1991-08-17,,0,0.7,16.1,0,0.12,0,0,0,0,0,0,0,0,0,0,0
1991-08-18,,0,0.68,15.7,1.4,0.109,0,0,0,0,0,0,0,0,0,0,0
1991-08-19,,0,0.68,16.4,0,0.08,0,0,0,0,0,0,0,0,0,0,0
1991-08-20,,0,0.33,18.3,0,0.069,0,0,0,0,0,0,0,0,0,0,0
1991-08-21,,0,0.05,20.4,1.5,0.082,0,0,0,0,0,0,0,0,0,0,0
1991-08-22,,0,0.37,19.4,3.4,0.098,0,0,0,0,0,0,0,0,0,0,0
1991-08-23,,0,0.67,16.8,0,0.067,0,0,0,0,0,0,0,0,0,0,0
1991-08-24,,0,0.05,15.3,0.9,0.075,0,0,0,0,0,0,0,0,0,0,0
1991-08-25,,0,0.22,16,0,0.066,0,0,0,0,0,0,0,0,0,0,0
1991-08-26,,0,0.04,18.1,1.4,0.079,0,0,0,0,0,0,0,0,0,0,0
1991-08-27,,0,0.29,19.2,23.1,0.234,0,0,6.393,0,0,0,0,0,0,0,0
1991-08-28,,0,0.76,18.9,0.6,0.203,0,0,0.161,0,0,0,0,0,0,0,0
1991-08-29,,0,0.74,24.1,0.1,0.163,0,0,0,0,0,0,0,0,0,0,0
1991-08-30,,0,0.72,21.6,0.5,0.13,0,0,0,0,0,0,0,0,0,0,0
1991-08-31,,0,0.83,15.8,0.1,0.112,0,0,0,0,0,0,0,0,0,0,0
1991-09-01,,0,0.69,16.5,14.8,0.217,0,0,1.666,0,0,0,0,0,0,0,0
1991-09-02,,0,0.75,12.1,8,0.217,0,0,5.159,0,0,0,0,0,0,0,0
1991-09-03,,0,0.75,13.2,0,0.186,0,0,0,0,0,0,0,0,0,0,0
1991-09-04,,0,0.73,15.5,5.1,0.201,0,0,0.041,0,0,0,0,0,0,0,0
1991-09-05,,0,0.74,12,1.5,0.189,0,0,0,0,0,0,0,0,0,0,0
1991-09-06,,0,0.73,10.8,4.5,0.208,0,0,0,0,0,0,0,0,0,0,0
1991-09-07,,0,0.88,11.5,0,0.179,0,0,0,0,0,0,0,0,0,0,0
1991-09-08,,0,0.87,12.3,0.8,0.162,0,0,0,0,0,0,0,0,0,0,0
1991-09-09,,0,0.86,13.3,1.2,0.15,0,0,0,0,0,0,0,0,0,0,0
1991-09-10,,0,0.85,12.5,0,0.127,0,0,0,0,0,0,0,0,0,0,0
1991-09-11,,0,0.84,12.8,0,0.108,0,0,0,0,0,0,0,0,0,0,0
1991-09-12,,0,0.82,14.9,0,0.084,0,0,0,0,0,0,0,0,0,0,0
1991-09-13,,0,0.56,14,0,0.073,0,0,0,0,0,0,0,0,0,0,0
1991-09-14,,0,0.31,12.4,0,0.07,0,0,0,0,0,0,0,0,0,0,0
1991-09-15,,0,0.2,13.7,0,0.069,0,0,0,0,0,0,0,0,0,0,0
1991-09-16,,0,0.19,13.5,0,0.067,0,0,0,0,0,0,0,0,0,0,0
1991-09-17,,0,0.19,14.9,0,0.066,0,0,0,0,0,0,0,0,0,0,0
1991-09-18,,0,0.19,12.7,0,0.065,0,0,0,0,0,0,0,0,0,0,0
1991-09-19,,0,0.19,10.9,0,0.064,0,0,0,0,0,0,0,0,0,0,0
1991-09-20,,0,0.19,11.4,0,0.063,0,0,0,0,0,0,0,0,0,0,0
1991-09-21,,0,0.19,11.4,0.2,0.064,0,0,0,0,0,0,0,0,0,0,0
1991-09-22,,0,0.19,13.1,0,0.064,0,0,0,0,0,0,0,0,0,0,0
1991-09-23,,0,0.19,15.1,0,0.062,0,0,0,0,0,0,0,0,0,0,0
1991-09-24,,0,0.18,15.8,0,0.061,0,0,0,0,0,0,0,0,0,0,0
1991-09-25,,0,0.16,14.6,0.4,0.064,0,0,0,0,0,0,0,0,0,0,0
1991-09-26,,0,0.15,14.2,0.3,0.067,0,0,0,0,0,0,0,0,0,0,0
1991-09-27,,0,0.15,14.1,0.2,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-09-28,,0,0.14,14.3,0,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-09-29,,0,0.13,13.2,0,0.067,0,0,0,0,0,0,0,0,0,0,0
1991-09-30,,0,0.12,11.1,0,0.066,0,0,0,0,0,0,0,0,0,0,0
1991-10-01,wheat/winter wheat,1,0.11,11.1,0,0.066,0,0,0,0,0,0,0,0,0.09756,0,0.09673
1991-10-02,wheat/winter wheat,1,0.11,8.8,0,0.066,0,0,0,0,0,0,0,0,0.07945,0,0.07864
1991-10-03,wheat/winter wheat,1,0.11,8.7,0,0.066,0,0,0,0,0,0,0,0,0.07892,0,0.07794
1991-10-04,wheat/winter wheat,1,0.11,10.8,0,0.065,0,0,0,0,0,0,0,0,0.09521,0,0.09415
1991-10-05,wheat/winter wheat,1,0.1,9.3,0,0.064,0,0,0,0,0,0,0,0,0.08352,0,0.08226
1991-10-06,wheat/winter wheat,1,0.05,9,3,0.094,0,0,0,0,0,0,0,0,0.08147,0,0.08007
1991-10-07,wheat/winter wheat,1,0.61,11.3,1,0.092,0,0,0,0,0,0,0,0,0.099,0,0.09848
1991-10-08,wheat/winter wheat,1,0.58,8.8,0,0.083,0,0,0,0,0,0,0,0,0.079,0,0.07864
1991-10-09,wheat/winter wheat,1,0.4,9.4,0,0.076,0,0,0,0,0,0,0,0,0.08339,0,0.083
1991-10-10,wheat/winter wheat,1,0.25,8,1,0.084,0,0,0,0,0,0,0,0,0.07348,0,0.07318
1991-10-11,wheat/winter wheat,1,0.41,4.9,0,0.078,0,0,0,0,0,0,0,0,0.05566,0,0.05536
1991-10-12,wheat/winter wheat,1,0.32,6,0,0.074,0,0,0,0,0,0,0,0,0.06183,0,0.06112
1991-10-13,wheat/winter wheat,1,0.23,4.1,0,0.072,0,0,0,0,0,0,0,0,0.05194,0,0.05152
1991-10-14,wheat/winter wheat,2,0.16,1.9,0,0.072,1,0,0,0,0,0,0,0,0.04744,0,0.04696
1991-10-15,wheat/winter wheat,2,0.15,0.6,0,0.072,1,0,0,0,0,0,0,0,0.0419,0,0.04171
1991-10-16,wheat/winter wheat,2,0.15,5.7,0,0.072,1,0,0,0,0,0,0,0,0.06606,0,0.06584
1991-10-17,wheat/winter wheat,2,0.15,4.7,0,0.072,1,0,0,0,0,0,0,0,0.06006,0,0.05999
