"daily"
Date,Crop,Stage,ETa/ETc,Tavg,Precip,Mois_1,RootDep,Recharge,PercolationRate_1,PercolationRate_2,PercolationRate_3,PercolationRate_4,PercolationRate_5,G-Iso,G-Mono,JJV-Iso,JJV-Mono
[],[],[],[],[],[mm],[m3 m-3],[layer#],[mm],[mm],[mm],[mm],[mm],[mm],[],[],[],[]
1991-01-01,,0,0.97,-0.6,0,0.217,0,0,0,0,0,0,0,0,0,0,0
1991-01-02,,0,0.96,2.8,0,0.192,0,0,0,0,0,0,0,0,0,0,0
1991-01-03,,0,0.95,7,0,0.163,0,0,0,0,0,0,0,0,0,0,0
1991-01-04,,0,0.93,5.7,0,0.138,0,0,0,0,0,0,0,0,0,0,0
1991-01-05,,0,0.91,5.6,1,0.125,0,0,0,0,0,0,0,0,0,0,0
1991-01-06,,0,0.9,4,1,0.128,0,0,0,0,0,0,0,0,0,0,0
1991-01-07,,0,0.91,4.7,0,0.106,0,0,0,0,0,0,0,0,0,0,0
1991-01-08,,0,0.89,3.9,1,0.103,0,0,0,0,0,0,0,0,0,0,0
1991-01-09,,0,0.89,5.7,1,0.092,0,0,0,0,0,0,0,0,0,0,0
1991-01-10,,0,0.78,-0.1,0,0.084,0,0,0,0,0,0,0,0,0,0,0
1991-01-11,,0,1,-3.2,0,0.084,0,0,0,0,0,0,0,0,0,0,0
1991-01-12,,0,0.66,1,0,0.074,0,0,0,0,0,0,0,0,0,0,0
1991-01-13,,0,0,-1,1,0.085,0,0,0,0,0,0,0,0,0,0,0
1991-01-14,,0,0.68,3.6,0,0.073,0,0,0,0,0,0,0,0,0,0,0
1991-01-15,,0,0.38,5.7,0,0.068,0,0,0,0,0,0,0,0,0,0,0
1991-01-16,,0,0.3,4.6,1,0.077,0,0,0,0,0,0,0,0,0,0,0
1991-01-17,,0,0.52,2.8,0,0.071,0,0,0,0,0,0,0,0,0,0,0
1991-01-18,,0,0.33,2.8,3,0.099,0,0,0,0,0,0,0,0,0,0,0
1991-01-19,,0,0.78,4.4,12,0.202,0,0,0,0,0,0,0,0,0,0,0
1991-01-20,,0,0.84,-0.4,0,0.184,0,0,0,0,0,0,0,0,0,0,0
1991-01-21,,0,0.83,-6.2,0,0.184,0,0,0,0,0,0,0,0,0,0,0
1991-01-22,,0,0.83,-7.5,0,0.179,0,0,0,0,0,0,0,0,0,0,0
1991-01-23,,0,0.82,-8.2,0,0.172,0,0,0,0,0,0,0,0,0,0,0
1991-01-24,,0,0.82,-6.9,0,0.167,0,0,0,0,0,0,0,0,0,0,0
1991-01-25,,0,0.82,-7.5,0,0.165,0,0,0,0,0,0,0,0,0,0,0
1991-01-26,,0,0.95,-4.3,0,0.16,0,0,0,0,0,0,0,0,0,0,0
1991-01-27,,0,0.95,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0
1991-01-28,,0,0.95,-1.2,0,0.144,0,0,0,0,0,0,0,0,0,0,0
1991-01-29,,0,0.94,-0.3,0,0.135,0,0,0,0,0,0,0,0,0,0,0
1991-01-30,,0,0.94,-0.1,0,0.129,0,0,0,0,0,0,0,0,0,0,0
1991-01-31,,0,0.93,-2.1,0,0.124,0,0,0,0,0,0,0,0,0,0,0
1991-02-01,,0,0.93,-1.5,0,0.115,0,0,0,0,0,0,0,0,0,0,0
1991-02-02,,0,0,-1.3,1,0.126,0,0,0,0,0,0,0,0,0,0,0
1991-02-03,,0,0,1.2,6,0.187,0,0,0,0,0,0,0,0,0,0,0
1991-02-04,,0,0.83,1.9,0,0.168,0,0,0,0,0,0,0,0,0,0,0
1991-02-05,,0,0,1.3,1,0.178,0,0,0,0,0,0,0,0,0,0,0
1991-02-06,,0,0.82,2.1,1,0.179,0,0,0,0,0,0,0,0,0,0,0
1991-02-07,,0,0.82,6.3,0,0.153,0,0,0,0,0,0,0,0,0,0,0
1991-02-08,,0,0.94,3.7,0,0.138,0,0,0,0,0,0,0,0,0,0,0
