"daily"
Date;Crop;Stage;AbBiom;OrgBiom/Leaf;OrgBiom/Fruit;Yield;LAI;Precip;Mois_1;Mois_2;Mois_3;Mois_1;Mois_2;Mois_3;SOC_1;SOC_2;SOC_3;Tavg;Globrad;actammoxrate_1;actammoxrate_2;actammoxrate_3;actnitrate_1;actnitrate_2;actnitrate_3;actdenitrate_1;actdenitrate_2;actdenitrate_3;NH4_1;NH4_2;NH4_3;NO2_1;NO2_2;NO2_3;NO3_1;NO3_2;NO3_3;N2O
1991-01-10;;0;0;0;0;0;0;0;0.08;0.189;0.214;0.08;0.189;0.214;0.008;0.008;0.008;-0.1;4.79;0;1.1e-05;1.5e-05;0;3e-05;3.7e-05;0;0;0;0.000203;0.000241;0.000249;0.000517;0.000331;0.000296;0.001453;0.000905;0.000953;0.00063
1991-01-11;;0;0;0;0;0;0;0;0.08;0.189;0.214;0.08;0.189;0.214;0.008;0.008;0.008;-3.2;3.77;0;6e-06;1.2e-05;0;1.7e-05;2.7e-05;0;0;0;0.000203;0.000249;0.000257;0.000517;0.000321;0.000282;0.001533;0.000924;0.000981;0.00037
1991-01-12;;0;0;0;0;0;0;0;0.072;0.185;0.213;0.072;0.185;0.213;0.008;0.008;0.008;1;1.94;0;4e-06;1e-05;0;9e-06;2e-05;0;0;0;0.000203;0.000258;0.000266;0.000517;0.000316;0.000271;0.001612;0.000936;0.001001;0.00027
1991-01-13;;0;0;0;0;0;0;1;0.083;0.185;0.213;0.083;0.185;0.213;0.008;0.008;0.008;-1;0.72;0;2e-06;8e-06;0;4e-06;1.5e-05;0;0;0;0.000203;0.000266;0.000274;0.000517;0.000313;0.000264;0.001692;0.000943;0.001015;0.00019
1991-01-14;;0;0;0;0;0;0;0;0.071;0.18;0.21;0.071;0.18;0.21;0.008;0.008;0.008;3.6;0.72;0;0;6e-06;0;1e-06;1.1e-05;0;0;0;0.000203;0.000274;0.000282;0.000517;0.000312;0.00026;0.001771;0.000947;0.001026;0.00013
1991-01-15;;0;0;0;0;0;0;0;0.069;0.174;0.208;0.069;0.174;0.208;0.008;0.008;0.008;5.7;0.72;0;3e-06;6e-06;0;7e-06;1.1e-05;0;0;0;0.000203;0.000282;0.000289;0.000517;0.000309;0.000255;0.00185;0.000957;0.001037;0.00022
1991-01-16;;0;0;0;0;0;0;1;0.078;0.169;0.206;0.078;0.169;0.206;0.008;0.008;0.008;4.6;0.72;0;6e-06;8e-06;0;1.2e-05;1.3e-05;0;0;0;0.000202;0.000289;0.000297;0.000517;0.000302;0.00025;0.001929;0.000972;0.00105;0.00034
1991-01-17;;0;0;0;0;0;0;0;0.071;0.166;0.204;0.071;0.166;0.204;0.008;0.008;0.008;2.8;5.36;0;6e-06;8e-06;0;1.2e-05;1.3e-05;0;0;0;0.000202;0.000297;0.000304;0.000517;0.000296;0.000245;0.002009;0.000986;0.001063;0.00028
1991-01-18;;0;0;0;0;0;0;3;0.099;0.161;0.202;0.099;0.161;0.202;0.008;0.008;0.008;2.8;0.72;2e-06;6e-06;8e-06;7e-06;1.1e-05;1.3e-05;0;0;0;0.000209;0.000304;0.000311;0.000511;0.000291;0.00024;0.002096;0.000999;0.001076;0.00026
1991-01-19;;0;0;0;0;0;0;12;0.201;0.161;0.2;0.201;0.161;0.2;0.008;0.008;0.008;4.4;0.72;3e-06;6e-06;9e-06;1.4e-05;1.1e-05;1.3e-05;0;0;0;0.000218;0.000311;0.000318;0.0005;0.000286;0.000236;0.002191;0.001011;0.001089;0.00027
1991-01-20;;0;0;0;0;0;0;0;0.183;0.161;0.199;0.183;0.161;0.199;0.008;0.008;0.008;-0.4;1.03;0;4e-06;8e-06;0;7e-06;1.1e-05;0;0;0;0.000225;0.000319;0.000325;0.0005;0.000283;0.000233;0.002272;0.001019;0.0011;0.00015
1991-01-21;;0;0;0;0;0;0;0;0.183;0.161;0.199;0.183;0.161;0.199;0.008;0.008;0.008;-6.2;2.6;0;0;5e-06;0;0;7e-06;0;0;0;0.000225;0.000326;0.000332;0.0005;0.000283;0.000231;0.002353;0.00102;0.001107;7e-05
1991-01-22;;0;0;0;0;0;0;0;0.178;0.16;0.198;0.178;0.16;0.198;0.008;0.008;0.008;-7.5;5.79;0;0;2e-06;0;0;2e-06;0;0;0;0.000225;0.00033;0.00034;0.0005;0.000283;0.00023;0.002433;0.001022;0.001109;3e-05
1991-01-23;;0;0;0;0;0;0;0;0.171;0.16;0.197;0.171;0.16;0.197;0.008;0.008;0.008;-8.2;3.68;0;0;0;0;0;0;0;0;0;0.000225;0.000331;0.000347;0.0005;0.000283;0.00023;0.002513;0.001023;0.001109;1e-05
1991-01-24;;0;0;0;0;0;0;0;0.165;0.16;0.197;0.165;0.16;0.197;0.008;0.008;0.008;-6.9;3.54;0;0;0;0;0;0;0;0;0;0.000225;0.000331;0.000351;0.0005;0.000283;0.00023;0.002594;0.001025;0.001109;0
1991-01-25;;0;0;0;0;0;0;0;0.164;0.16;0.197;0.164;0.16;0.197;0.008;0.008;0.008;-7.5;0.79;0;0;0;0;0;0;0;0;0;0.000225;0.000331;0.000354;0.0005;0.000283;0.00023;0.002674;0.001027;0.001109;0
1991-01-26;;0;0;0;0;0;0;0;0.158;0.159;0.196;0.158;0.159;0.196;0.008;0.008;0.008;-4.3;0.79;0;0;0;0;0;0;0;0;0;0.000225;0.000331;0.000355;0.0005;0.000283;0.00023;0.002754;0.001029;0.001109;0
1991-01-27;;0;0;0;0;0;0;0;0.151;0.157;0.196;0.151;0.157;0.196;0.008;0.008;0.008;0;0.79;0;0;0;0;0;0;0;0;0;0.000225;0.000331;0.000357;0.0005;0.000283;0.00023;0.002833;0.001032;0.001109;0
1991-01-28;;0;0;0;0;0;0;0;0.141;0.155;0.195;0.141;0.155;0.195;0.008;0.008;0.008;-1.2;0.79;0;0;0;0;0;0;0;0;0;0.000224;0.000331;0.000359;0.0005;0.000283;0.00023;0.002913;0.001034;0.001109;0
1991-01-29;;0;0;0;0;0;0;0;0.132;0.153;0.194;0.132;0.153;0.194;0.008;0.008;0.008;-0.3;0.79;0;0;0;0;0;0;0;0;0;0.000224;0.000331;0.000362;0.0005;0.000283;0.00023;0.002992;0.001037;0.001109;0
1991-01-30;;0;0;0;0;0;0;0;0.126;0.152;0.193;0.126;0.152;0.193;0.008;0.008;0.008;-0.1;2.24;0;0;0;0;0;0;0;0;0;0.000224;0.000332;0.000365;0.0005;0.000283;0.00023;0.003071;0.001039;0.001109;0
1991-01-31;;0;0;0;0;0;0;0;0.12;0.151;0.192;0.12;0.151;0.192;0.008;0.008;0.008;-2.1;0.79;0;0;0;0;0;0;0;0;0;0.000224;0.000333;0.000368;0.0005;0.000283;0.00023;0.00315;0.001042;0.001109;0
1991-02-01;;0;0;0;0;0;0;0;0.111;0.149;0.192;0.111;0.149;0.192;0.008;0.008;0.008;-1.5;0.86;0;0;0;0;0;0;0;0;0;0.000224;0.000334;0.000371;0.0005;0.000283;0.00023;0.003229;0.001045;0.001109;0
1991-02-02;;0;0;0;0;0;0;1;0.122;0.149;0.192;0.122;0.149;0.192;0.008;0.008;0.008;-1.3;0.86;0;0;0;0;0;0;0;0;0;0.000224;0.000335;0.000374;0.0005;0.000283;0.00023;0.003308;0.001048;0.00111;0
1991-02-03;;0;0;0;0;0;0;6;0.183;0.149;0.192;0.183;0.149;0.192;0.008;0.008;0.008;1.2;1.78;0;0;0;0;0;0;0;0;0;0.000224;0.000336;0.000377;0.0005;0.000283;0.00023;0.003388;0.001051;0.00111;0
1991-02-04;;0;0;0;0;0;0;0;0.163;0.148;0.19;0.163;0.148;0.19;0.008;0.008;0.008;1.9;5.14;0;0;0;0;0;0;0;0;0;0.000224;0.000337;0.000381;0.0005;0.000283;0.00023;0.003467;0.001053;0.00111;0
1991-02-05;;0;0;0;0;0;0;1;0.174;0.148;0.19;0.174;0.148;0.19;0.008;0.008;0.008;1.3;0.86;0;0;0;0;0;0;0;0;0;0.000227;0.00034;0.000385;0.0005;0.000283;0.00023;0.003546;0.001056;0.00111;0
1991-02-06;;0;0;0;0;0;0;1;0.175;0.148;0.189;0.175;0.148;0.189;0.008;0.008;0.008;2.1;0.86;0;0;0;0;0;0;0;0;0;0.000231;0.000344;0.000389;0.0005;0.000283;0.00023;0.003626;0.001059;0.00111;0
1991-02-07;;0;0;0;0;0;0;0;0.148;0.147;0.186;0.148;0.147;0.186;0.008;0.008;0.008;6.3;2.54;4e-06;0;0;1.7e-05;1e-06;0;0;0;0;0.000239;0.000352;0.000397;0.000488;0.000283;0.00023;0.003721;0.001062;0.00111;0.00011
1991-02-08;;0;0;0;0;0;0;0;0.132;0.144;0.185;0.132;0.144;0.185;0.008;0.008;0.0079;3.7;0.86;4e-06;3e-06;1e-06;1.5e-05;4e-06;2e-06;0;0;0;0.000247;0.000359;0.000404;0.000476;0.000282;0.00023;0.003815;0.00107;0.001112;0.00015
1991-02-09;;0;0;0;0;0;0;0;0.117;0.141;0.183;0.117;0.141;0.183;0.008;0.008;0.0079;1.9;3.97;3e-06;4e-06;3e-06;1.2e-05;6e-06;4e-06;0;0;0;0.000254;0.000365;0.000411;0.000467;0.00028;0.00023;0.003905;0.001079;0.001115;0.00016
1991-02-10;;0;0;0;0;0;0;1;0.114;0.137;0.182;0.114;0.137;0.182;0.008;0.008;0.0079;3.4;2.71;4e-06;5e-06;5e-06;1.4e-05;7e-06;5e-06;0;0;0;0.000262;0.000372;0.000418;0.000457;0.000277;0.000229;0.003997;0.00109;0.001121;0.0002
1991-02-11;;0;0;0;0;0;0;4;0.138;0.137;0.18;0.138;0.137;0.18;0.008;0.008;0.0079;2.5;0.92;3e-06;5e-06;6e-06;1.2e-05;7e-06;6e-06;0;0;0;0.000269;0.000378;0.000424;0.000449;0.000275;0.000229;0.004087;0.0011;0.001127;0.00018
1991-02-12;;0;0;0;0;0;0;0;0.13;0.135;0.18;0.13;0.135;0.18;0.008;0.008;0.0079;4.4;1.68;5e-06;6e-06;7e-06;1.7e-05;9e-06;7e-06;0;0;0;0.000277;0.000384;0.000429;0.000438;0.000273;0.000229;0.004183;0.001112;0.001135;0.00024
1991-02-13;;0;0;0;0;0;0;2;0.132;0.132;0.178;0.132;0.132;0.178;0.008;0.008;0.0079;6.6;0.92;1e-05;9e-06;1e-05;3e-05;1.3e-05;1e-05;0;0;0;0.000284;0.000389;0.000434;0.000417;0.000269;0.000228;0.004291;0.001128;0.001145;0.00037
1991-02-14;;0;0;0;0;0;0;3;0.144;0.131;0.176;0.144;0.131;0.176;0.008;0.008;0.0079;2.8;3.4;8e-06;1e-05;1.1e-05;2.4e-05;1.3e-05;1.1e-05;0;0;0;0.000291;0.000394;0.000437;0.000402;0.000266;0.000228;0.004393;0.001144;0.001156;0.00033
1991-02-15;;0;0;0;0;0;0;1;0.134;0.131;0.174;0.134;0.131;0.174;0.008;0.008;0.0079;4;0.92;8e-06;1e-05;1.2e-05;2e-05;1.3e-05;1.2e-05;0;0;0;0.000298;0.000398;0.000441;0.00039;0.000263;0.000228;0.004492;0.00116;0.001168;0.00032
1991-02-16;;0;0;0;0;0;0;2;0.154;0.131;0.174;0.154;0.131;0.174;0.008;0.008;0.0079;1.4;1.4;4e-06;8e-06;1.1e-05;1e-05;1e-05;1.1e-05;0;0;0;0.000305;0.000404;0.000445;0.000384;0.000261;0.000228;0.00458;0.001173;0.001179;0.00022
1991-02-17;;0;0;0;0;0;0;1;0.165;0.131;0.174;0.165;0.131;0.174;0.008;0.008;0.0079;-1.8;4.74;1e-06;5e-06;9e-06;2e-06;7e-06;9e-06;0;0;0;0.000312;0.00041;0.000449;0.000382;0.00026;0.000228;0.004661;0.001183;0.001189;0.00014
1991-02-18;;0;0;0;0;0;0;0;0.165;0.131;0.174;0.165;0.131;0.174;0.008;0.0079;0.0079;-3.1;5.31;0;1e-06;6e-06;0;1e-06;6e-06;0;0;0;0.000315;0.000417;0.000455;0.000382;0.000259;0.000228;0.00474;0.001188;0.001195;7e-05
1991-02-19;;0;0;0;0;0;0;1;0.176;0.131;0.174;0.176;0.131;0.174;0.008;0.0079;0.0079;-0.7;0.92;0;0;3e-06;0;0;3e-06;0;0;0;0.000315;0.000422;0.000462;0.000382;0.000259;0.000228;0.004818;0.001191;0.001197;3e-05
1991-02-20;;0;0;0;0;0;0;0;0.176;0.131;0.174;0.176;0.131;0.174;0.008;0.0079;0.0079;-1.2;2.16;0;0;0;0;0;0;0;0;0;0.000316;0.000427;0.00047;0.000382;0.000259;0.000228;0.004897;0.001194;0.001198;1e-05
1991-02-21;;0;0;0;0;0;0;0;0.159;0.13;0.172;0.159;0.13;0.172;0.008;0.0079;0.0079;1.3;1.64;0;0;0;0;0;0;0;0;0;0.000317;0.00043;0.000476;0.000382;0.000259;0.000228;0.004975;0.001198;0.001198;0
1991-02-22;;0;0;0;0;0;0;2;0.162;0.13;0.171;0.162;0.13;0.171;0.008;0.0079;0.0079;3.1;2.45;0;0;0;0;0;0;0;0;0;0.000321;0.000435;0.000484;0.000382;0.000259;0.000228;0.005053;0.001201;0.001198;0
1991-02-23;;0;0;0;0;0;0;0;0.135;0.129;0.168;0.135;0.129;0.168;0.008;0.0079;0.0079;4.8;3.5;4e-06;1e-06;1e-06;9e-06;1e-06;1e-06;0;0;0;0.000328;0.000442;0.000491;0.000377;0.000259;0.000228;0.005139;0.001207;0.001199;8e-05
1991-02-24;;0;0;0;0;0;0;0;0.118;0.126;0.166;0.118;0.126;0.166;0.008;0.0079;0.0079;3.5;7.34;6e-06;4e-06;4e-06;1.2e-05;5e-06;4e-06;0;0;0;0.000334;0.000448;0.000497;0.00037;0.000259;0.000229;0.005229;0.001216;0.001202;0.00016
1991-02-25;;0;0;0;0;0;0;0;0.115;0.125;0.166;0.115;0.125;0.166;0.008;0.0079;0.0079;3.7;1.64;6e-06;6e-06;6e-06;1.4e-05;7e-06;6e-06;0;0;0;0.00034;0.000453;0.000502;0.000363;0.000258;0.000229;0.00532;0.001228;0.001208;0.0002
1991-02-26;;0;0;0;0;0;0;0;0.107;0.123;0.165;0.107;0.123;0.165;0.008;0.0079;0.0079;2.5;3.97;5e-06;6e-06;8e-06;1e-05;7e-06;7e-06;0;0;0;0.000346;0.000458;0.000507;0.000358;0.000257;0.00023;0.005406;0.00124;0.001215;0.00019
1991-02-27;;0;0;0;0;0;0;0;0.092;0.12;0.164;0.092;0.12;0.164;0.008;0.0079;0.0079;4.3;6.64;4e-06;8e-06;9e-06;8e-06;9e-06;8e-06;0;0;0;0.000352;0.000462;0.00051;0.000354;0.000256;0.000231;0.00549;0.001255;0.001223;0.00025
1991-02-28;;0;0;0;0;0;0;0;0.087;0.118;0.163;0.087;0.118;0.163;0.008;0.0079;0.0079;1.1;6.99;0;6e-06;9e-06;0;7e-06;8e-06;0;0;0;0.000351;0.000467;0.000514;0.000354;0.000256;0.000232;0.005566;0.001267;0.001232;0.00017
1991-03-01;;0;0;0;0;0;0;0;0.073;0.114;0.161;0.073;0.114;0.161;0.008;0.0079;0.0079;6.8;4.08;0;1e-05;1.1e-05;0;1e-05;1e-05;0;0;0;0.000351;0.000471;0.000517;0.000354;0.000255;0.000234;0.005641;0.001284;0.001242;0.00031
1991-03-02;;0;0;0;0;0;0;0;0.069;0.11;0.159;0.069;0.11;0.159;0.008;0.0079;0.0079;8;13.75;0;1.6e-05;1.7e-05;0;1.7e-05;1.5e-05;0;0;0;0.000351;0.000472;0.000517;0.000354;0.000255;0.000236;0.005716;0.001308;0.001256;0.00053
1991-03-03;;0;0;0;0;0;0;1;0.078;0.106;0.158;0.078;0.106;0.158;0.008;0.0079;0.0079;6.9;8.12;0;2e-05;2.2e-05;0;2.1e-05;2e-05;0;0;0;0.00035;0.000471;0.000514;0.000354;0.000254;0.000238;0.005792;0.001335;0.001276;0.00064
1991-03-04;;0;0;0;0;0;0;0;0.067;0.1;0.155;0.067;0.1;0.155;0.008;0.0079;0.0079;5.5;2.9;0;1.8e-05;2.5e-05;0;1.9e-05;2.2e-05;0;0;0;0.00035;0.000472;0.00051;0.000354;0.000253;0.000241;0.005866;0.00136;0.001298;0.00063
1991-03-05;;0;0;0;0;0;0;0;0.066;0.096;0.153;0.066;0.096;0.153;0.008;0.0079;0.0079;6.9;12.65;0;1.7e-05;2.7e-05;0;1.7e-05;2.4e-05;0;0;0;0.000349;0.000474;0.000505;0.000354;0.000253;0.000244;0.005941;0.001384;0.001323;0.00067
1991-03-06;;0;0;0;0;0;0;0;0.065;0.092;0.151;0.065;0.092;0.151;0.008;0.0079;0.0079;7.5;21.85;0;1.5e-05;3e-05;0;1.5e-05;2.7e-05;0;0;0;0.000349;0.000478;0.0005;0.000354;0.000252;0.000246;0.006016;0.001405;0.001351;0.00078
1991-03-07;;0;0;0;0;0;0;1;0.074;0.089;0.15;0.074;0.089;0.15;0.008;0.0079;0.0079;5;3.45;0;0;3e-05;0;0;2.9e-05;0;0;0;0.000348;0.000478;0.000494;0.000354;0.000252;0.000248;0.006092;0.001411;0.00138;0.00074
1991-03-08;;0;0;0;0;0;0;0;0.07;0.086;0.148;0.07;0.086;0.148;0.008;0.0079;0.0079;6;2.35;0;0;3e-05;0;0;2.9e-05;0;0;0;0.000348;0.000478;0.000489;0.000354;0.000252;0.000249;0.006168;0.001416;0.001408;0.0007
1991-03-09;;0;0;0;0;0;0;0;0.069;0.084;0.147;0.069;0.084;0.147;0.008;0.0079;0.0079;5.7;12.79;0;0;2.9e-05;0;0;2.9e-05;0;0;0;0.000348;0.000478;0.000484;0.000354;0.000252;0.00025;0.006243;0.001422;0.001437;0.0007
1991-03-10;;0;0;0;0;0;0;0;0.068;0.082;0.145;0.068;0.082;0.145;0.008;0.0079;0.0079;4.5;13.2;0;0;2.9e-05;0;0;2.8e-05;0;0;0;0.000347;0.000478;0.00048;0.000354;0.000252;0.000251;0.006318;0.001428;0.001466;0.0007
1991-03-11;;0;0;0;0;0;0;0;0.067;0.08;0.143;0.067;0.08;0.143;0.008;0.0079;0.0079;4.7;13.48;0;0;2.9e-05;0;0;2.8e-05;0;0;0;0.000347;0.000478;0.000476;0.000354;0.000252;0.000251;0.006394;0.001434;0.001494;0.0007
1991-03-12;;0;0;0;0;0;0;2;0.086;0.08;0.142;0.086;0.08;0.142;0.008;0.0079;0.0079;4;7.66;0;0;2.7e-05;0;0;2.7e-05;0;0;0;0.000346;0.000478;0.000473;0.000354;0.000252;0.000251;0.00647;0.001439;0.001522;0.00062
1991-03-13;;0;0;0;0;0;0;14;0.214;0.08;0.14;0.214;0.08;0.14;0.008;0.0079;0.0079;3.1;3.23;1.4e-05;0;2.5e-05;2.7e-05;0;2.5e-05;0;0;0;0.000351;0.000478;0.00047;0.000341;0.000252;0.00025;0.006577;0.00144;0.001547;0.0005
1991-03-14;;0;0;0;0;0;0;3;0.217;0.084;0.138;0.217;0.084;0.138;0.008;0.0079;0.0079;2.8;3.23;1.1e-05;0;2.2e-05;2e-05;0;2.2e-05;0;0;0;0.000356;0.000478;0.000469;0.000332;0.000252;0.00025;0.006553;0.001565;0.001568;0.00042
1991-03-15;;0;0;0;0;0;0;1;0.228;0.084;0.138;0.228;0.084;0.138;0.008;0.0079;0.0079;1.1;14.94;7e-06;0;1.8e-05;1.2e-05;0;1.9e-05;0;0;0;0.000362;0.000478;0.000469;0.000327;0.000252;0.00025;0.006645;0.001566;0.001587;0.00032
1991-03-16;;0;0;0;0;0;0;2;0.241;0.091;0.138;0.241;0.091;0.138;0.008;0.0079;0.0079;0.4;7.03;2e-06;4e-06;1.5e-05;3e-06;4e-06;1.5e-05;0;0;0;0.00037;0.000483;0.000471;0.000325;0.000252;0.000249;0.006533;0.001767;0.001602;0.00022
1991-03-17;;0;0;0;0;0;0;0;0.217;0.093;0.136;0.217;0.093;0.136;0.008;0.0079;0.0079;2.5;13.52;0;3e-06;1.1e-05;0;3e-06;1.2e-05;0;0;0;0.000376;0.000487;0.000474;0.000325;0.000252;0.000249;0.006545;0.001839;0.001614;0.00014
1991-03-18;;0;0;0;0;0;0;0;0.204;0.093;0.135;0.204;0.093;0.135;0.008;0.0079;0.0079;2.3;4.34;0;2e-06;9e-06;0;2e-06;9e-06;0;0;0;0.000382;0.000492;0.000478;0.000325;0.000252;0.000249;0.006625;0.001843;0.001623;0.00011
1991-03-19;;0;0;0;0;0;0;0;0.185;0.093;0.133;0.185;0.093;0.133;0.008;0.0079;0.0079;6.8;10.67;1.2e-05;5e-06;1e-05;2e-05;5e-06;1e-05;0;0;0;0.000386;0.000497;0.000481;0.000318;0.000252;0.000249;0.006724;0.00185;0.001633;0.00026
1991-03-20;;0;0;0;0;0;0;1;0.174;0.092;0.131;0.174;0.092;0.131;0.008;0.0079;0.0079;4.7;10.2;1.7e-05;7e-06;1.3e-05;2.7e-05;7e-06;1.3e-05;0;0;0;0.000389;0.000501;0.000483;0.000308;0.000252;0.000248;0.00683;0.001859;0.001645;0.00036
1991-03-21;;0;0;0;0;0;0;12;0.228;0.14;0.131;0.228;0.14;0.131;0.008;0.0079;0.0079;6.1;3.07;2.1e-05;1.8e-05;1.5e-05;3.1e-05;1.8e-05;1.5e-05;0;0;0;0.00039;0.0005;0.000485;0.000298;0.000253;0.000249;0.005414;0.003406;0.001659;0.00041
1991-03-22;;0;0;0;0;0;0;6;0.228;0.183;0.131;0.228;0.183;0.131;0.0079;0.0079;0.0079;8.3;3.96;2.6e-05;2.5e-05;1.8e-05;3.7e-05;2.4e-05;1.8e-05;0;0;0;0.000389;0.000497;0.000485;0.000286;0.000253;0.000249;0.004467;0.004495;0.001677;0.00049
1991-03-23;;0;0;0;0;0;0;5;0.217;0.211;0.13;0.217;0.211;0.13;0.0079;0.0079;0.0079;5.5;6.94;2.5e-05;2.8e-05;2e-05;3.5e-05;2.7e-05;2e-05;0;0;0;0.000388;0.000492;0.000484;0.000277;0.000254;0.000249;0.003875;0.00523;0.001697;0.00051
1991-03-24;;0;0;0;0;0;0;1;0.219;0.211;0.13;0.219;0.211;0.13;0.0079;0.0079;0.0079;3.7;0.941;1.9e-05;2.5e-05;2e-05;2.6e-05;2.5e-05;2e-05;0;0;0;0.00039;0.000488;0.000483;0.00027;0.000254;0.000249;0.003986;0.005249;0.001719;0.00045
1991-03-25;;0;0;0;0;0;0;0;0.203;0.207;0.13;0.203;0.207;0.13;0.0079;0.0079;0.0079;2.7;6.982;1.2e-05;2.1e-05;1.8e-05;1.6e-05;2.1e-05;1.8e-05;0;0;0;0.000394;0.000487;0.000483;0.000266;0.000254;0.000249;0.004086;0.005265;0.001738;0.00036
1991-03-26;;0;0;0;0;0;0;6.3;0.228;0.226;0.13;0.228;0.226;0.13;0.0079;0.0079;0.0079;2.1;1.657;6e-06;1.5e-05;1.6e-05;8e-06;1.6e-05;1.6e-05;0;0;0;0.0004;0.000488;0.000484;0.000264;0.000254;0.000249;0.003776;0.005679;0.001755;0.00027
1991-03-27;;0;0;0;0;0;0;0.2;0.213;0.223;0.13;0.213;0.223;0.13;0.0079;0.0079;0.0079;3.5;7.5;9e-06;1.4e-05;1.4e-05;1.1e-05;1.4e-05;1.4e-05;0;0;0;0.000405;0.00049;0.000486;0.000261;0.000254;0.000249;0.003872;0.005687;0.001771;0.00026
1991-03-28;;0;0;0;0;0;0;1.4;0.213;0.219;0.13;0.213;0.219;0.13;0.0079;0.0079;0.0079;2.5;6.195;8e-06;1.4e-05;1.3e-05;1.1e-05;1.4e-05;1.3e-05;0;0;0;0.00041;0.000492;0.000488;0.000259;0.000254;0.000249;0.003968;0.005695;0.001786;0.00025
