"daily"
Date;Crop;Stage;AbBiom;OrgBiom/Leaf;OrgBiom/Fruit;Yield;LAI;Precip;Mois_1;Mois_2;Mois_3;Mois_1;Mois_2;Mois_3;SOC_1;SOC_2;SOC_3;Tavg;Globrad;actammoxrate_1;actammoxrate_2;actammoxrate_3;actnitrate_1;actnitrate_2;actnitrate_3;actdenitrate_1;actdenitrate_2;actdenitrate_3;NH4_1;NH4_2;NH4_3;NO2_1;NO2_2;NO2_3;NO3_1;NO3_2;NO3_3;N2O
[];[];[1-6/7];[kgDM ha-1];[kgDM ha-1];[kgDM ha-1];[kgDM ha-1];[m2 m-2];[mm];[m3 m-3];[m3 m-3];[m3 m-3];[m3 m-3];[m3 m-3];[m3 m-3];[kgC kg-1];[kgC kg-1];[kgC kg-1];[];[];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN ha-1]
1991-01-01;;0;0;0;0;0;0;0;0.217;0.23;0.232;0.217;0.23;0.232;0.008;0.008;0.008;-0.6;0.52;8e-06;1.1e-05;1.3e-05;0.000124;0.000166;0.000184;0;0;0;0.000118;0.000123;0.000125;0.000884;0.000845;0.000829;0.000306;0.000267;0.000284;0.00316
1991-01-02;;0;0;0;0;0;0;0;0.191;0.225;0.23;0.191;0.225;0.23;0.008;0.008;0.008;2.8;0.52;6e-06;1.1e-05;1.3e-05;7.5e-05;0.000119;0.000137;0;0;0;0.000131;0.000141;0.000146;0.000815;0.000736;0.000705;0.000463;0.000386;0.000421;0.00233
1991-01-03;;0;0;0;0;0;0;0;0.161;0.218;0.227;0.161;0.218;0.227;0.008;0.008;0.008;7;1.63;8e-06;1.2e-05;1.4e-05;8.5e-05;0.000101;0.000109;0;0;0;0.000146;0.000158;0.000164;0.000738;0.000647;0.000609;0.00063;0.000487;0.00053;0.00206
1991-01-04;;0;0;0;0;0;0;0;0.135;0.212;0.224;0.135;0.212;0.224;0.008;0.008;0.008;5.7;0.52;9e-06;1.3e-05;1.5e-05;7.6e-05;8.8e-05;9.1e-05;0;0;0;0.00016;0.000173;0.00018;0.00067;0.000572;0.000533;0.000788;0.000576;0.000621;0.00181
1991-01-05;;0;0;0;0;0;0;1;0.122;0.206;0.222;0.122;0.206;0.222;0.008;0.008;0.008;5.6;0.52;9e-06;1.3e-05;1.5e-05;6.4e-05;7.6e-05;7.8e-05;0;0;0;0.000172;0.000187;0.000195;0.000615;0.000509;0.000471;0.000933;0.000654;0.000699;0.00157
1991-01-06;;0;0;0;0;0;0;1;0.124;0.205;0.221;0.124;0.205;0.221;0.008;0.008;0.008;4;0.52;8e-06;1.4e-05;1.6e-05;5.1e-05;6.5e-05;6.6e-05;0;0;0;0.000184;0.0002;0.000208;0.000572;0.000458;0.00042;0.001065;0.000719;0.000765;0.00131
1991-01-07;;0;0;0;0;0;0;0;0.101;0.199;0.219;0.101;0.199;0.219;0.008;0.008;0.008;4.7;0.69;7e-06;1.4e-05;1.6e-05;3.9e-05;5.7e-05;5.7e-05;0;0;0;0.000194;0.000211;0.00022;0.00054;0.000415;0.000379;0.001184;0.000778;0.000822;0.00118
1991-01-08;;0;0;0;0;0;0;1;0.098;0.196;0.218;0.098;0.196;0.218;0.008;0.008;0.008;3.9;0.75;5e-06;1.4e-05;1.6e-05;2.8e-05;4.8e-05;5e-05;0;0;0;0.000204;0.000222;0.00023;0.000517;0.00038;0.000346;0.001292;0.000827;0.000872;0.00099
1991-01-09;;0;0;0;0;0;0;1;0.087;0.191;0.215;0.087;0.191;0.215;0.008;0.008;0.008;5.7;0.52;0;1.4e-05;1.6e-05;0;4.4e-05;4.4e-05;0;0;0;0.000204;0.000231;0.00024;0.000517;0.000351;0.000318;0.001373;0.000873;0.000916;0.00095
