"daily"
Date;Crop;Stage;AbBiom;OrgBiom/Leaf;OrgBiom/Fruit;Yield;LAI;Precip;Mois_1;Mois_2;Mois_3;Mois_1;Mois_2;Mois_3;SOC_1;SOC_2;SOC_3;Tavg;Globrad;actammoxrate_1;actammoxrate_2;actammoxrate_3;actnitrate_1;actnitrate_2;actnitrate_3;actdenitrate_1;actdenitrate_2;actdenitrate_3;NH4_1;NH4_2;NH4_3;NO2_1;NO2_2;NO2_3;NO3_1;NO3_2;NO3_3;N2O
[];[];[1-6/7];[kgDM ha-1];[kgDM ha-1];[kgDM ha-1];[kgDM ha-1];[m2 m-2];[mm];[m3 m-3];[m3 m-3];[m3 m-3];[m3 m-3];[m3 m-3];[m3 m-3];[kgC kg-1];[kgC kg-1];[kgC kg-1];[];[];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN/m3/d];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN m-3];[kgN ha-1]
1991-01-01;;0;0;0;0;0;0;0;0.217;0.23;0.232;0.217;0.23;0.232;0.008;0.008;0.008;-0.6;0.52;0;0;0;0;0;0;0.0001;0.0001;0.0001;0.000125;0.000134;0.000138;0.001;0.001;0.001;8.2e-05;0;0;0
1991-01-02;;0;0;0;0;0;0;0;0.191;0.225;0.23;0.191;0.225;0.23;0.008;0.008;0.008;2.8;0.52;0;0;0;0;0;0;8.2e-05;0;0;0.000145;0.000163;0.000172;0.001;0.001;0.001;8.2e-05;0;0;0
1991-01-03;;0;0;0;0;0;0;0;0.161;0.218;0.227;0.161;0.218;0.227;0.008;0.008;0.008;7;1.63;0;0;0;0;0;0;8.2e-05;0;0;0.000167;0.000191;0.000204;0.001;0.001;0.001;8.2e-05;0;0;0
1991-01-04;;0;0;0;0;0;0;0;0.135;0.212;0.224;0.135;0.212;0.224;0.008;0.008;0.008;5.7;0.52;0;0;0;0;0;0;8.2e-05;0;0;0.00019;0.000219;0.000234;0.001;0.001;0.001;8.2e-05;0;0;0
1991-01-05;;0;0;0;0;0;0;1;0.122;0.206;0.222;0.122;0.206;0.222;0.008;0.008;0.008;5.6;0.52;0;0;0;0;0;0;8.2e-05;0;0;0.000211;0.000247;0.000264;0.001;0.001;0.001;8.2e-05;0;0;0
1991-01-06;;0;0;0;0;0;0;1;0.124;0.205;0.221;0.124;0.205;0.221;0.008;0.008;0.008;4;0.52;0;0;0;0;0;0;8.2e-05;0;0;0.000231;0.000273;0.000293;0.001;0.001;0.001;8.2e-05;0;0;0
1991-01-07;;0;0;0;0;0;0;0;0.101;0.199;0.219;0.101;0.199;0.219;0.008;0.008;0.008;4.7;0.69;0;0;0;0;0;0;8.2e-05;0;0;0.000248;0.000298;0.000321;0.001;0.001;0.001;8.2e-05;0;0;0
1991-01-08;;0;0;0;0;0;0;1;0.098;0.196;0.218;0.098;0.196;0.218;0.008;0.008;0.008;3.9;0.75;0;0;0;0;0;0;8.2e-05;0;0;0.000263;0.000322;0.000348;0.001;0.001;0.001;8.2e-05;0;0;0
1991-01-09;;0;0;0;0;0;0;1;0.087;0.191;0.215;0.087;0.191;0.215;0.008;0.008;0.008;5.7;0.52;0;0;0;0;0;0;8.2e-05;0;0;0.000262;0.000346;0.000374;0.001;0.001;0.001;8.2e-05;0;0;0
