"daily"
Date,Crop1,Stage1,AbBiom1,Yield1,Evapotranspiration1,Evaporation1,Tra1,Act_ET1,ETa/ETc1,Height1,LAI1,EffRootDep1,Crop2,Stage2,AbBiom2,Yield2,Evapotranspiration2,Evaporation2,Tra2,Act_ET2,ETa/ETc2,Height2,LAI2,EffRootDep2,Mois,N
[],[],[1-6/7],[kgDM ha-1],[kgDM ha-1],[mm],[mm],[mm],[mm],[],[m],[m2 m-2],[m],[],[1-6/7],[kgDM ha-1],[kgDM ha-1],[mm],[mm],[mm],[mm],[],[m],[m2 m-2],[m],[m3 m-3],[kgN m-3]
1991-01-01,,0,0,0,0,0,0,0.33,0.97,0,0,0,,0,0,0,0,0,0,0.33,0.97,0,0,0,0.222005,0.0065292
1991-01-02,,0,0,0,0,0,0,0.64,0.97,0,0,0,,0,0,0,0,0,0,0.64,0.97,0,0,0,0.221204,0.00655512
1991-01-03,,0,0,0,0,0,0,1.05,0.96,0,0,0,,0,0,0,0,0,0,1.05,0.96,0,0,0,0.219886,0.00658112
1991-01-04,,0,0,0,0,0,0,1.26,0.96,0,0,0,,0,0,0,0,0,0,1.26,0.96,0,0,0,0.218308,0.00660709
1991-01-05,,0,0,0,0,0,0,0.95,0.95,0,0,0,,0,0,0,0,0,0,0.95,0.95,0,0,0,0.218367,0.00663268
1991-01-06,,0,0,0,0,0,0,0.33,0.95,0,0,0,,0,0,0,0,0,0,0.33,0.95,0,0,0,0.219203,0.0066572
1991-01-07,,0,0,0,0,0,0,0.83,0.96,0,0,0,,0,0,0,0,0,0,0.83,0.96,0,0,0,0.218163,0.0066815
1991-01-08,,0,0,0,0,0,0,0.79,0.95,0,0,0,,0,0,0,0,0,0,0.79,0.95,0,0,0,0.218432,0.00670471
1991-01-09,,0,0,0,0,0,0,1.08,0.96,0,0,0,,0,0,0,0,0,0,1.08,0.96,0,0,0,0.218331,0.00672807
1991-01-10,,0,0,0,0,0,0,0.37,0.96,0,0,0,,0,0,0,0,0,0,0.37,0.96,0,0,0,0.217865,0.00674852
1991-01-11,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0.217865,0.00676608
1991-01-12,,0,0,0,0,0,0,0.63,0.95,0,0,0,,0,0,0,0,0,0,0.63,0.95,0,0,0,0.217071,0.00678236
1991-01-13,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.218423,0.0067976
1991-01-14,,0,0,0,0,0,0,0.79,0.96,0,0,0,,0,0,0,0,0,0,0.79,0.96,0,0,0,0.217431,0.00681213
1991-01-15,,0,0,0,0,0,0,1.2,0.95,0,0,0,,0,0,0,0,0,0,1.2,0.95,0,0,0,0.215933,0.00682843
1991-01-16,,0,0,0,0,0,0,1.17,0.96,0,0,0,,0,0,0,0,0,0,1.17,0.96,0,0,0,0.215725,0.00684605
1991-01-17,,0,0,0,0,0,0,1.01,0.95,0,0,0,,0,0,0,0,0,0,1.01,0.95,0,0,0,0.214461,0.00686324
1991-01-18,,0,0,0,0,0,0,0.64,0.8,0,0,0,,0,0,0,0,0,0,0.64,0.8,0,0,0,0.217408,0.00688025
1991-01-19,,0,0,0,0,0,0,0.72,0.96,0,0,0,,0,0,0,0,0,0,0.72,0.96,0,0,0,0.231083,0.00688731
1991-01-20,,0,0,0,0,0,0,0.59,0.97,0,0,0,,0,0,0,0,0,0,0.59,0.97,0,0,0,0.229078,0.00687392
1991-01-21,,0,0,0,0,0,0,0.12,0.97,0,0,0,,0,0,0,0,0,0,0.12,0.97,0,0,0,0.227806,0.00686129
1991-01-22,,0,0,0,0,0,0,0.16,0.97,0,0,0,,0,0,0,0,0,0,0.16,0.97,0,0,0,0.226781,0.00685462
1991-01-23,,0,0,0,0,0,0,0.33,0.91,0,0,0,,0,0,0,0,0,0,0.33,0.91,0,0,0,0.225762,0.0068522
1991-01-24,,0,0,0,0,0,0,0.28,0.97,0,0,0,,0,0,0,0,0,0,0.28,0.97,0,0,0,0.224965,0.00685285
1991-01-25,,0,0,0,0,0,0,0.19,0.97,0,0,0,,0,0,0,0,0,0,0.19,0.97,0,0,0,0.22438,0.00685565
1991-01-26,,0,0,0,0,0,0,0.27,0.97,0,0,0,,0,0,0,0,0,0,0.27,0.97,0,0,0,0.223766,0.00685999
1991-01-27,,0,0,0,0,0,0,0.35,0.97,0,0,0,,0,0,0,0,0,0,0.35,0.97,0,0,0,0.223105,0.00686558
1991-01-28,,0,0,0,0,0,0,0.42,0.97,0,0,0,,0,0,0,0,0,0,0.42,0.97,0,0,0,0.222401,0.00687213
1991-01-29,,0,0,0,0,0,0,0.42,0.96,0,0,0,,0,0,0,0,0,0,0.42,0.96,0,0,0,0.221724,0.00687953
1991-01-30,,0,0,0,0,0,0,0.29,0.96,0,0,0,,0,0,0,0,0,0,0.29,0.96,0,0,0,0.221242,0.00688763
1991-01-31,,0,0,0,0,0,0,0.32,0.96,0,0,0,,0,0,0,0,0,0,0.32,0.96,0,0,0,0.220734,0.00689613
1991-02-01,,0,0,0,0,0,0,0.43,0.96,0,0,0,,0,0,0,0,0,0,0.43,0.96,0,0,0,0.220107,0.00690495
1991-02-02,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.22139,0.00691404
1991-02-03,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.228951,0.00692334
1991-02-04,,0,0,0,0,0,0,0.84,0.83,0,0,0,,0,0,0,0,0,0,0.84,0.83,0,0,0,0.227835,0.00693309
1991-02-05,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.229048,0.00694346
1991-02-06,,0,0,0,0,0,0,0.38,0.83,0,0,0,,0,0,0,0,0,0,0.38,0.83,0,0,0,0.229775,0.00695438
1991-02-07,,0,0,0,0,0,0,1.11,0.83,0,0,0,,0,0,0,0,0,0,1.11,0.83,0,0,0,0.228347,0.00696752
1991-02-08,,0,0,0,0,0,0,0.76,0.91,0,0,0,,0,0,0,0,0,0,0.76,0.91,0,0,0,0.227358,0.00698168
1991-02-09,,0,0,0,0,0,0,0.57,0.91,0,0,0,,0,0,0,0,0,0,0.57,0.91,0,0,0,0.226605,0.00699619
1991-02-10,,0,0,0,0,0,0,0.6,0.91,0,0,0,,0,0,0,0,0,0,0.6,0.91,0,0,0,0.227066,0.00701119
1991-02-11,,0,0,0,0,0,0,0.61,0.91,0,0,0,,0,0,0,0,0,0,0.61,0.91,0,0,0,0.231274,0.00702569
1991-02-12,,0,0,0,0,0,0,0.41,0.91,0,0,0,,0,0,0,0,0,0,0.41,0.91,0,0,0,0.230727,0.0070409
1991-02-13,,0,0,0,0,0,0,0.81,0.97,0,0,0,,0,0,0,0,0,0,0.81,0.97,0,0,0,0.232186,0.00705761
1991-02-14,,0,0,0,0,0,0,0.8,0.97,0,0,0,,0,0,0,0,0,0,0.8,0.97,0,0,0,0.234913,0.00707366
1991-02-15,,0,0,0,0,0,0,0.96,0.97,0,0,0,,0,0,0,0,0,0,0.96,0.97,0,0,0,0.234942,0.00708965
1991-02-16,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.237451,0.00710439
1991-02-17,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.238814,0.00711819
1991-02-18,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.238797,0.00713057
1991-02-19,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.240122,0.00714194
1991-02-20,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.240108,0.00715316
1991-02-21,,0,0,0,0,0,0,0.64,0.97,0,0,0,,0,0,0,0,0,0,0.64,0.97,0,0,0,0.239295,0.00716419
1991-02-22,,0,0,0,0,0,0,0.84,0.97,0,0,0,,0,0,0,0,0,0,0.84,0.97,0,0,0,0.240737,0.00717602
1991-02-23,,0,0,0,0,0,0,1.34,0.97,0,0,0,,0,0,0,0,0,0,1.34,0.97,0,0,0,0.239046,0.00718951
1991-02-24,,0,0,0,0,0,0,0.88,0.96,0,0,0,,0,0,0,0,0,0,0.88,0.96,0,0,0,0.232297,0.00707845
1991-02-25,,0,0,0,0,0,0,0.41,0.96,0,0,0,,0,0,0,0,0,0,0.41,0.96,0,0,0,0.227656,0.00699903
1991-02-26,,0,0,0,0,0,0,0.54,0.96,0,0,0,,0,0,0,0,0,0,0.54,0.96,0,0,0,0.225058,0.00697048
1991-02-27,,0,0,0,0,0,0,0.78,0.96,0,0,0,,0,0,0,0,0,0,0.78,0.96,0,0,0,0.222967,0.00696183
1991-02-28,,0,0,0,0,0,0,0.43,0.96,0,0,0,,0,0,0,0,0,0,0.43,0.96,0,0,0,0.221702,0.00696123
1991-03-01,,0,0,0,0,0,0,1.17,0.96,0,0,0,,0,0,0,0,0,0,1.17,0.96,0,0,0,0.219724,0.00696744
1991-03-02,,0,0,0,0,0,0,1.25,0.95,0,0,0,,0,0,0,0,0,0,1.25,0.95,0,0,0,0.217775,0.00697999
1991-03-03,,0,0,0,0,0,0,1.3,0.95,0,0,0,,0,0,0,0,0,0,1.3,0.95,0,0,0,0.217102,0.00699675
1991-03-04,,0,0,0,0,0,0,1.35,0.95,0,0,0,,0,0,0,0,0,0,1.35,0.95,0,0,0,0.215181,0.00701436
1991-03-05,,0,0,0,0,0,0,1.5,0.94,0,0,0,,0,0,0,0,0,0,1.5,0.94,0,0,0,0.213122,0.00703355
1991-03-06,,0,0,0,0,0,0,1.67,0.93,0,0,0,,0,0,0,0,0,0,1.67,0.93,0,0,0,0.210886,0.00705539
1991-03-07,,0,0,0,0,0,0,0.9,0.93,0,0,0,,0,0,0,0,0,0,0.9,0.93,0,0,0,0.210879,0.0070773
1991-03-08,,0,0,0,0,0,0,0.73,0.93,0,0,0,,0,0,0,0,0,0,0.73,0.93,0,0,0,0.209854,0.0070988
1991-03-09,,0,0,0,0,0,0,1.27,0.92,0,0,0,,0,0,0,0,0,0,1.27,0.92,0,0,0,0.208175,0.00712012
1991-03-10,,0,0,0,0,0,0,1.51,0.92,0,0,0,,0,0,0,0,0,0,1.51,0.92,0,0,0,0.206203,0.00714136
1991-03-11,,0,0,0,0,0,0,1.21,0.91,0,0,0,,0,0,0,0,0,0,1.21,0.91,0,0,0,0.204621,0.00716258
1991-03-12,,0,0,0,0,0,0,1.16,0.91,0,0,0,,0,0,0,0,0,0,1.16,0.91,0,0,0,0.205606,0.00718319
1991-03-13,,0,0,0,0,0,0,0.64,0.71,0,0,0,,0,0,0,0,0,0,0.64,0.71,0,0,0,0.222256,0.00720339
1991-03-14,,0,0,0,0,0,0,0.92,0.9,0,0,0,,0,0,0,0,0,0,0.92,0.9,0,0,0,0.224807,0.00722223
1991-03-15,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.226041,0.00723978
1991-03-16,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.228585,0.00725537
1991-03-17,,0,0,0,0,0,0,1.62,0.97,0,0,0,,0,0,0,0,0,0,1.62,0.97,0,0,0,0.226379,0.00726691
1991-03-18,,0,0,0,0,0,0,0.75,0.97,0,0,0,,0,0,0,0,0,0,0.75,0.97,0,0,0,0.225078,0.00727387
1991-03-19,,0,0,0,0,0,0,1.17,0.97,0,0,0,,0,0,0,0,0,0,1.17,0.97,0,0,0,0.223193,0.00728168
