iso-date,hour,crop-name,co2,leaf_temp,in:LAI_sun,in:LAI_sh,out:Ic_sun,out:Ic_sh,out:A_rub_sun,out:A_el_sun,out:A_rub_sh,out:A_el_sh,out.sunlit.ci,out.sunlit.cc,out.shaded.ci,out.shaded.cc,gb_sun,gm_sun,gb_sh,gm_sh,out.sunlit.gs,out.shaded.gs,A_sun,Rd_sun,gamma_sun
1991-10-01,0,wheat/winter wheat,349.075,11.1343,0,0.106,0,0
1991-10-01,1,wheat/winter wheat,349.075,10.7471,0,0.106,0,0
1991-10-01,2,wheat/winter wheat,349.075,10.3941,0,0.106,0,0
1991-10-01,3,wheat/winter wheat,349.075,10.0872,0,0.106,0,0
1991-10-01,4,wheat/winter wheat,349.075,9.83701,0,0.106,0,0
1991-10-01,5,wheat/winter wheat,349.075,9.65194,0,0.106,0,0
1991-10-01,6,wheat/winter wheat,349.075,9.53831,0,0.106,0,0
1991-10-01,7,wheat/winter wheat,349.075,9.5,0.0820583,0.0239417,5.43069,1.27866,-0.0292899,-0.0292899,-0.00854573,-0.00854574,-230.311,-229.419,-0.892351,-0.892351,0.123088,0.0328233,0.0359125,0.00957666,0.01,0.10017,-0.0292899,0.0292899,0
1991-10-01,8,wheat/winter wheat,349.075,9.72282,0.0952918,0.0107082,13.6453,1.38674,-0.034547,-0.034547,-0.00388212,-0.00388212,-0.906348,0,-233.651,-233.651,0.142938,0.0381167,0.0160622,0.00428326,0.358601,0.01,-0.034547,0.034547,0
1991-10-01,9,wheat/winter wheat,349.075,10.3471,0.0987437,0.0072563,20.6666,1.41335,-0.0373894,-0.0373894,-0.00274761,-0.00274761,-0.946628,0,-0.946628,-0.946628,0.148116,0.0394975,0.0108845,0.00290252,0.34215,0.0344031,-0.0373894,0.0373894,0
1991-10-01,10,wheat/winter wheat,349.075,11.2493,0.100183,0.0058169,26.05,1.42434,-0.0403809,-0.0403809,-0.00234463,-0.00234463,-1.00768,0,-1.00768,-1.00768,0.150275,0.0400732,0.00872535,0.00232676,0.310513,0.0273764,-0.0403809,0.0403809,0
1991-10-01,11,wheat/winter wheat,349.075,12.2507,0.100828,0.00517189,29.4334,1.42926,-0.04354,-0.04354,-0.00223335,-0.00223335,-1.07956,0,-1.07956,-1.07956,0.151242,0.0403312,0.00775784,0.00206876,0.273628,0.0236293,-0.04354,0.04354,0
1991-10-01,12,wheat/winter wheat,349.075,13.1529,0.101017,0.00498341,30.5874,1.4307,-0.0463961,-0.0463961,-0.00228884,-0.00228884,-293.836,-292.688,-1.14823,-1.14823,0.151525,0.0404066,0.00747511,0.00199336,0.01,0.0218779,-0.0463961,0.0463961,0
1991-10-01,13,wheat/winter wheat,349.075,13.7772,0.100828,0.00517189,29.4334,1.42926,-0.0483176,-0.0483176,-0.00247841,-0.00247841,-306.588,-305.39,-1.19802,-1.19802,0.151242,0.0403312,0.00775784,0.00206876,0.01,0.0212733,-0.0483176,0.0483176,0
1991-10-01,14,wheat/winter wheat,349.075,14,0.100183,0.0058169,26.05,1.42434,-0.0487392,-0.0487392,-0.00282993,-0.00282993,-1.21625,0,-1.21625,-1.21625,0.150275,0.0400732,0.00872535,0.00232676,0.224058,0.0224288,-0.0487392,0.0487392,0
1991-10-01,15,wheat/winter wheat,349.075,13.9617,0.0987437,0.0072563,20.6666,1.41335,-0.0479144,-0.0479144,-0.00352105,-0.00352105,-310.355,-309.142,-1.2131,-1.2131,0.148116,0.0394975,0.0108845,0.00290252,0.01,0.0256008,-0.0479144,0.0479144,0
1991-10-01,16,wheat/winter wheat,349.075,13.8481,0.0952918,0.0107082,13.6453,1.38674,-0.0458846,-0.0458846,-0.00515616,-0.00515616,-1.20379,0,-308.132,-308.132,0.142938,0.0381167,0.0160622,0.00428326,0.214848,0.01,-0.0458846,0.0458846,0
1991-10-01,17,wheat/winter wheat,349.075,13.663,0.0820583,0.0239417,5.43069,1.27866,-0.0390194,-0.0390194,-0.0113844,-0.0113844,-304.182,-302.994,-1.18877,-1.18877,0.123088,0.0328233,0.0359125,0.00957666,0.01,0.0634392,-0.0390194,0.0390194,0
1991-10-01,18,wheat/winter wheat,349.075,13.4128,0,0.106,0,0
1991-10-01,19,wheat/winter wheat,349.075,13.1059,0,0.106,0,0
1991-10-01,20,wheat/winter wheat,349.075,12.7529,0,0.106,0,0
1991-10-01,21,wheat/winter wheat,349.075,12.3657,0,0.106,0,0
1991-10-01,22,wheat/winter wheat,349.075,11.9576,0,0.106,0,0
1991-10-01,23,wheat/winter wheat,349.075,11.5424,0,0.106,0,0
