"daily"
Date,Crop,Stage,AbBiom,Yield,Evapotranspiration,Evaporation,Tra,Act_ET,ETa/ETc,LAI,Height,Mois,N,EffRootDep
[],[],[1-6/7],[kgDM ha-1],[kgDM ha-1],[mm],[mm],[mm],[mm],[],[m2 m-2],[m],[m3 m-3],[kgN m-3],[m]
1991-01-01,,0,0,0,0,0,0,0.33,0.97,0,0,0.222005,0.0065292,0
1991-01-02,,0,0,0,0,0,0,0.64,0.97,0,0,0.221204,0.00655512,0
1991-01-03,,0,0,0,0,0,0,1.05,0.96,0,0,0.219886,0.00658112,0
1991-01-04,,0,0,0,0,0,0,1.26,0.96,0,0,0.218308,0.00660709,0
1991-01-05,,0,0,0,0,0,0,0.95,0.95,0,0,0.218367,0.00663268,0
1991-01-06,,0,0,0,0,0,0,0.33,0.95,0,0,0.219203,0.0066572,0
1991-01-07,,0,0,0,0,0,0,0.83,0.96,0,0,0.218163,0.0066815,0
1991-01-08,,0,0,0,0,0,0,0.79,0.95,0,0,0.218432,0.00670471,0
1991-01-09,,0,0,0,0,0,0,1.08,0.96,0,0,0.218331,0.00672807,0
1991-01-10,,0,0,0,0,0,0,0.37,0.96,0,0,0.217865,0.00674852,0
1991-01-11,,0,0,0,0,0,0,0,1,0,0,0.217865,0.00676608,0
1991-01-12,,0,0,0,0,0,0,0.63,0.95,0,0,0.217071,0.00678236,0
1991-01-13,,0,0,0,0,0,0,0,0,0,0,0.218423,0.0067976,0
1991-01-14,,0,0,0,0,0,0,0.79,0.96,0,0,0.217431,0.00681213,0
1991-01-15,,0,0,0,0,0,0,1.2,0.95,0,0,0.215933,0.00682843,0
1991-01-16,,0,0,0,0,0,0,1.17,0.96,0,0,0.215725,0.00684605,0
1991-01-17,,0,0,0,0,0,0,1.01,0.95,0,0,0.214461,0.00686324,0
1991-01-18,,0,0,0,0,0,0,0.64,0.8,0,0,0.217408,0.00688025,0
1991-01-19,,0,0,0,0,0,0,0.72,0.96,0,0,0.231083,0.00688731,0
1991-01-20,,0,0,0,0,0,0,0.59,0.97,0,0,0.229078,0.00687392,0
1991-01-21,,0,0,0,0,0,0,0.12,0.97,0,0,0.227806,0.00686129,0
1991-01-22,,0,0,0,0,0,0,0.16,0.97,0,0,0.226781,0.00685462,0
1991-01-23,,0,0,0,0,0,0,0.33,0.91,0,0,0.225762,0.0068522,0
1991-01-24,,0,0,0,0,0,0,0.28,0.97,0,0,0.224965,0.00685285,0
