Date,CropID,RelativePresence,LightSuitability,TempSuitability,WaterSuitability,NitroSuitability,OverallSuitability
1991-09-29,WW1,0.5,0.994213,0.488889,0.461538,1,2.01162
1991-09-29,WW2,0.5,0.994213,0.488889,0.461538,1,2.01162
1991-09-30,WW1,0.5,0.993715,0.411111,0.457625,1,1.91563
1991-09-30,WW2,0.5,0.993715,0.411111,0.457625,1,1.91563
1991-10-01,WW1,0.5,0.993719,0.411111,0.453712,1,1.90893
1991-10-01,WW2,0.5,0.993719,0.411111,0.453712,1,1.90893
1991-10-02,WW1,0.5,0.993724,0.325926,0.450609,1,1.80816
1991-10-02,WW2,0.5,0.993724,0.325926,0.450609,1,1.80816
1991-10-03,WW1,0.5,0.993333,0.322222,0.447542,1,1.79873
1991-10-03,WW2,0.5,0.993333,0.322222,0.447542,1,1.79873
1991-10-04,WW1,0.500034,0.992887,0.4,0.443734,1,1.87843
1991-10-04,WW2,0.499966,0.992887,0.4,0.443734,0.95879,1.86746
1991-10-05,WW1,0.500111,0.992425,0.344444,0.440455,1,1.81101
1991-10-05,WW2,0.499889,0.992425,0.344444,0.440455,0.892736,1.78652
1991-10-06,WW1,0.500228,0.991874,0.333333,0.437282,1,1.79304
1991-10-06,WW2,0.499772,0.991874,0.333333,0.437282,0.829965,1.7556
1991-10-07,WW1,0.500407,0.991269,0.418519,0.433298,1,1.87881
1991-10-07,WW2,0.499593,0.991269,0.418519,0.433298,0.79127,1.82137
1991-10-08,WW1,0.50057,0.990844,0.325926,0.430196,1,1.77248
1991-10-08,WW2,0.49943,0.990844,0.325926,0.430196,0.756863,1.72057
1991-10-09,WW1,0.500766,0.990431,0.348148,0.426881,1,1.79072
1991-10-09,WW2,0.499234,0.990431,0.348148,0.426881,0.723206,1.72783
1991-10-10,WW1,0.50095,0.989989,0.296296,0.424061,1,1.72996
1991-10-10,WW2,0.49905,0.989989,0.296296,0.424061,0.694072,1.67101
1991-10-11,WW1,0.501073,0.989571,0.181481,0.422333,1,1.60393
1991-10-11,WW2,0.498927,0.989571,0.181481,0.422333,0.666123,1.5646
1991-10-12,WW1,0.50124,0.989135,0.222222,0.420218,1,1.64405
1991-10-12,WW2,0.49876,0.989135,0.222222,0.420218,0.629796,1.59079
1991-10-13,WW1,0.501362,0.988511,0.151852,0.418772,1,1.5664
1991-10-13,WW2,0.498638,0.988511,0.151852,0.418772,0.601175,1.52727
1991-10-14,WW1,0.501422,0.98796,0.0703704,0.418103,1,1.4783
1991-10-14,WW2,0.498578,0.98796,0.0703704,0.418103,0.576266,1.45905
1991-10-15,WW1,0.501442,0.987433,0.0222222,0.417891,1,1.42629
1991-10-15,WW2,0.498558,0.987433,0.0222222,0.417891,0.558217,1.41995
1991-10-16,WW1,0.501636,0.956724,0.211111,0.415881,1,1.58573
1991-10-16,WW2,0.498364,0.956724,0.211111,0.415881,0.541746,1.52369
1991-10-17,WW1,0.501797,0.956129,0.174074,0.414224,1,1.54387
1991-10-17,WW2,0.498203,0.956129,0.174074,0.414224,0.536751,1.49226
1991-10-18,WW1,0.501898,0.955618,0.107407,0.413202,1,1.47208
1991-10-18,WW2,0.498102,0.955618,0.107407,0.413202,0.530266,1.43983
1991-10-19,WW1,0.502,0.954926,0.107407,0.412179,1,1.47003
1991-10-19,WW2,0.498,0.954926,0.107407,0.412179,0.523729,1.43738
1991-10-20,WW1,0.502178,0.953948,0.185185,0.410417,1,1.54786
1991-10-20,WW2,0.497822,0.953948,0.185185,0.410417,0.5169,1.49088
1991-10-21,WW1,0.502329,0.952911,0.155556,0.408936,1,1.51383
1991-10-21,WW2,0.497671,0.952911,0.155556,0.408936,0.51078,1.46546
1991-10-22,WW1,0.502489,0.951803,0.162963,0.407385,1,1.5182
1991-10-22,WW2,0.497511,0.951803,0.162963,0.407385,0.505157,1.46704
1991-10-23,WW1,0.502635,0.950743,0.148148,0.405974,1,1.49978
1991-10-23,WW2,0.497365,0.950743,0.148148,0.405974,0.501062,1.45298
1991-10-24,WW1,0.502764,0.949886,0.12963,0.40474,1,1.47809
1991-10-24,WW2,0.497236,0.949886,0.12963,0.40474,0.495873,1.43678
1991-10-25,WW1,0.502953,0.948654,0.188889,0.402942,1,1.53535
1991-10-25,WW2,0.497047,0.948654,0.188889,0.402942,0.491951,1.47483
1991-10-26,WW1,0.503125,0.9476,0.17037,0.401321,1,1.51293
1991-10-26,WW2,0.496875,0.9476,0.17037,0.401321,0.488137,1.45806
1991-10-27,WW1,0.503245,0.946727,0.118519,0.400192,1,1.45736
1991-10-27,WW2,0.496755,0.946727,0.118519,0.400192,0.485619,1.41906
1991-10-28,WW1,0.503245,0.946311,0,0.400192,1,1.33561
1991-10-28,WW2,0.496755,0.946311,0,0.400192,0.483039,1.33561
1991-10-29,WW1,0.503384,0.945518,0.137037,0.398888,1,1.47323
1991-10-29,WW2,0.496616,0.945518,0.137037,0.398888,0.480441,1.42858
1991-10-30,WW1,0.50357,0.944541,0.181481,0.39716,1,1.51515
1991-10-30,WW2,0.49643,0.944541,0.181481,0.39716,0.477189,1.45578
1991-10-31,WW1,0.50371,0.943598,0.137037,0.395856,1,1.46719
1991-10-31,WW2,0.49629,0.943598,0.137037,0.395856,0.473981,1.42216
1991-11-01,WW1,0.50371,0.942986,0,0.395856,1,1.32739
1991-11-01,WW2,0.49629,0.942986,0,0.395856,0.474763,1.32739
1991-11-02,WW1,0.503718,0.942992,0.00740741,0.395785,1,1.33485
1991-11-02,WW2,0.496282,0.942992,0.00740741,0.395785,0.471755,1.3324
1991-11-03,WW1,0.503833,0.942223,0.111111,0.394728,1,1.43788
1991-11-03,WW2,0.496167,0.942223,0.111111,0.394728,0.468443,1.40105
1991-11-04,WW1,0.50411,0.940693,0.266667,0.392189,1,1.5898
1991-11-04,WW2,0.49589,0.940693,0.266667,0.392189,0.465565,1.50123
1991-11-05,WW1,0.504318,0.939439,0.2,0.390285,1,1.51854
1991-11-05,WW2,0.495682,0.939439,0.2,0.390285,0.463053,1.45198
1991-11-06,WW1,0.504614,0.937909,0.285185,0.387571,1,1.59815
1991-11-06,WW2,0.495386,0.937909,0.285185,0.387571,0.461185,1.50325
1991-11-07,WW1,0.50503,0.936047,0.4,0.383889,1,1.70429
1991-11-07,WW2,0.49497,0.936047,0.4,0.383889,0.459212,1.57137
1991-11-08,WW1,0.505444,0.934137,0.4,0.379955,1,1.69525
1991-11-08,WW2,0.494556,0.934137,0.4,0.379955,0.457759,1.56269
1991-11-09,WW1,0.505583,0.933381,0.133333,0.380147,1,1.43197
1991-11-09,WW2,0.494417,0.933381,0.133333,0.380147,0.454848,1.38754
1991-11-10,WW1,0.505583,0.932682,0,0.379893,1,1.29956
1991-11-10,WW2,0.494417,0.932682,0,0.379893,0.455714,1.29956
1991-11-11,WW1,0.505756,0.932169,0.166667,0.378303,1,1.46098
1991-11-11,WW2,0.494244,0.932169,0.166667,0.378303,0.453542,1.40546
1991-11-12,WW1,0.505996,0.930965,0.22963,0.376766,1,1.51917
1991-11-12,WW2,0.494004,0.930965,0.22963,0.376766,0.451039,1.44248
1991-11-13,WW1,0.506197,0.929676,0.192593,0.375275,1,1.4794
1991-11-13,WW2,0.493803,0.929676,0.192593,0.375275,0.449895,1.41508
1991-11-14,WW1,0.506314,0.929,0.111111,0.378209,1,1.4025
1991-11-14,WW2,0.493686,0.929,0.111111,0.378209,0.448917,1.36519
1991-11-15,WW1,0.506392,0.92855,0.0740741,0.378821,1,1.3663
1991-11-15,WW2,0.493608,0.92855,0.0740741,0.378821,0.447742,1.34136
1991-11-16,WW1,0.506439,0.928175,0.0444444,0.379703,1,1.33768
1991-11-16,WW2,0.493561,0.928175,0.0444444,0.379703,0.446862,1.32268
1991-11-17,WW1,0.506599,0.927423,0.151852,0.379617,1,1.44226
1991-11-17,WW2,0.493401,0.927423,0.151852,0.379617,0.445963,1.39091
1991-11-18,WW1,0.506831,0.926395,0.218519,0.380262,1,1.50739
1991-11-18,WW2,0.493169,0.926395,0.218519,0.380262,0.444222,1.43321
1991-11-19,WW1,0.50698,0.925451,0.140741,0.378647,1,1.42775
1991-11-19,WW2,0.49302,0.925451,0.140741,0.378647,0.443147,1.37999
1991-11-20,WW1,0.507142,0.924592,0.151852,0.379578,1,1.43874
1991-11-20,WW2,0.492858,0.924592,0.151852,0.379578,0.44158,1.38701
1991-11-21,WW1,0.507312,0.923572,0.159259,0.380027,1,1.44533
1991-11-21,WW2,0.492688,0.923572,0.159259,0.380027,0.440041,1.3909
1991-11-22,WW1,0.507443,0.922676,0.122222,0.37881,1,1.4064
1991-11-22,WW2,0.492557,0.922676,0.122222,0.37881,0.438326,1.36457
1991-11-23,WW1,0.507506,0.921964,0.0592593,0.380101,1,1.34517
1991-11-23,WW2,0.492494,0.921964,0.0592593,0.380101,0.437071,1.32481
1991-11-24,WW1,0.507534,0.921451,0.0259259,0.37982,1,1.31151
