"daily"
Date,Crop,Stage,STemp_1,STemp_2,STemp_3,STemp_4,STemp_5,STemp_6,STemp_7,STemp_8,STemp_9,STemp_10,Irrig,ETa/ETc,AbBiom,OrgBiom/Leaf,OrgBiom/Fruit,Yield,LAI,Precip,Mois_1,Mois_2,Mois_3,Mois,SOC_1,SOC_2,SOC_3,Tavg,Globrad
[],[],[1-6/7],[°C],[°C],[°C],[°C],[°C],[°C],[°C],[°C],[°C],[°C],[mm],[],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[m2 m-2],[mm],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[kgC kg-1],[kgC kg-1],[kgC kg-1],[],[]
1991-01-01,,0,3.1,3.8,4.1,4.4,4.6,4.9,5.2,5.4,5.7,5.9,0,0.97,0,0,0,0,0,0,0.232,0.234,0.234,0.233017,0.0079,0.0079,0.0079,-0.6,0.52
1991-01-02,,0,5.8,6.9,7.1,7.3,7.5,7.7,7.9,8.1,8.4,8.6,0,0.97,0,0,0,0,0,0,0.227,0.232,0.233,0.230885,0.0079,0.0079,0.0079,2.8,0.52
1991-01-03,,0,8.2,9.3,9.5,9.7,9.8,10,10.2,10.3,10.5,10.7,0,0.96,0,0,0,0,0,0,0.219,0.231,0.233,0.22733,0.0079,0.0079,0.0079,7,1.63
1991-01-04,,0,10,11.2,11.4,11.5,11.7,11.8,11.9,12.1,12.2,12.3,0,0.96,0,0,0,0,0,0,0.209,0.229,0.232,0.223108,0.0079,0.0079,0.0079,5.7,0.52
1991-01-05,,0,11.5,12.8,12.9,13,13.1,13.3,13.4,13.5,13.6,13.7,0,0.95,0,0,0,0,0,1,0.212,0.227,0.231,0.223231,0.0079,0.0079,0.0079,5.6,0.52
1991-01-06,,0,12.6,14,14.2,14.2,14.3,14.4,14.5,14.6,14.7,14.8,0,0.95,0,0,0,0,0,1,0.219,0.226,0.231,0.225452,0.0079,0.0079,0.0079,4,0.52
1991-01-07,,0,13.5,15,15.1,15.2,15.3,15.3,15.4,15.5,15.5,15.6,0,0.96,0,0,0,0,0,0,0.213,0.225,0.23,0.222648,0.0079,0.0079,0.0079,4.7,0.69
1991-01-08,,0,14.2,15.8,15.9,16,16,16.1,16.1,16.2,16.2,16.3,0,0.95,0,0,0,0,0,1,0.217,0.224,0.23,0.223317,0.0079,0.0079,0.0079,3.9,0.75
1991-01-09,,0,14.8,16.5,16.5,16.6,16.6,16.7,16.7,16.8,16.8,16.8,0,0.96,0,0,0,0,0,1,0.219,0.222,0.229,0.223029,0.0079,0.0079,0.0079,5.7,0.52
1991-01-10,,0,15.1,17,17,17.1,17.1,17.1,17.2,17.2,17.3,17.3,0,0.96,0,0,0,0,0,0,0.216,0.221,0.228,0.221732,0.0079,0.0079,0.0079,-0.1,4.79
1991-01-11,,0,15.3,17.4,17.4,17.5,17.5,17.5,17.6,17.6,17.6,17.6,0,1,0,0,0,0,0,0,0.216,0.221,0.228,0.221732,0.0079,0.0079,0.0079,-3.2,3.77
1991-01-12,,0,15.6,17.7,17.8,17.8,17.8,17.8,17.9,17.9,17.9,17.9,0,0.95,0,0,0,0,0,0,0.211,0.22,0.228,0.219589,0.0079,0.0079,0.0079,1,1.94
1991-01-13,,0,15.8,18,18,18,18.1,18.1,18.1,18.1,18.1,18.1,0,0,0,0,0,0,0,1,0.222,0.22,0.228,0.223195,0.0079,0.0079,0.0079,-1,0.72
1991-01-14,,0,16,18.2,18.2,18.2,18.3,18.3,18.3,18.3,18.3,18.3,0,0.96,0,0,0,0,0,0,0.215,0.219,0.227,0.220525,0.0079,0.0079,0.0079,3.6,0.72
1991-01-15,,0,16.3,18.3,18.4,18.4,18.4,18.4,18.4,18.4,18.5,18.5,0,0.96,0,0,0,0,0,0,0.206,0.217,0.227,0.216489,0.0079,0.0079,0.0079,5.7,0.72
1991-01-16,,0,16.5,18.5,18.5,18.5,18.5,18.5,18.6,18.6,18.6,18.6,0,0.95,0,0,0,0,0,1,0.207,0.215,0.226,0.215923,0.0079,0.0079,0.0079,4.6,0.72
1991-01-17,,0,16.5,18.6,18.6,18.6,18.6,18.6,18.7,18.7,18.7,18.7,0,0.95,0,0,0,0,0,0,0.2,0.213,0.225,0.212484,0.0079,0.0079,0.0079,2.8,5.36
1991-01-18,,0,16.6,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,0,0.8,0,0,0,0,0,3,0.224,0.213,0.224,0.220321,0.0079,0.0079,0.0079,2.8,0.72
1991-01-19,,0,16.6,18.7,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,0,0.96,0,0,0,0,0,12,0.241,0.244,0.245,0.243223,0.0079,0.0079,0.0079,4.4,0.72
1991-01-20,,0,16.6,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.9,18.9,0,0.97,0,0,0,0,0,0,0.234,0.24,0.241,0.238269,0.0079,0.0079,0.0079,-0.4,1.03
1991-01-21,,0,16.4,18.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,0,0.97,0,0,0,0,0,0,0.233,0.238,0.239,0.236777,0.0079,0.0079,0.0079,-6.2,2.6
1991-01-22,,0,16.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,0,0.97,0,0,0,0,0,0,0.232,0.238,0.238,0.235737,0.0079,0.0079,0.0079,-7.5,5.79
1991-01-23,,0,16.1,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,0,0.97,0,0,0,0,0,0,0.229,0.237,0.237,0.234272,0.0079,0.0079,0.0079,-8.2,3.68
1991-01-24,,0,16,18.9,19,19,19,19,19,19,19,19,0,0.97,0,0,0,0,0,0,0.227,0.236,0.237,0.233326,0.0079,0.0079,0.0079,-6.9,3.54
1991-01-25,,0,15.9,18.9,19,19,19,19,19,19,19,19,0,0.97,0,0,0,0,0,0,0.226,0.236,0.236,0.232691,0.0079,0.0079,0.0079,-7.5,0.79
1991-01-26,,0,16,18.9,19,19,19,19,19,19,19,19,0,0.97,0,0,0,0,0,0,0.223,0.236,0.236,0.231774,0.0079,0.0079,0.0079,-4.3,0.79
1991-01-27,,0,16.1,18.9,19,19,19,19,19,19,19,19,0,0.97,0,0,0,0,0,0,0.221,0.235,0.236,0.230589,0.0079,0.0079,0.0079,0,0.79
